COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,TOTAL GIRO ABRIL 2023,OBSERVACIÓN
CCF033,EPS FAMILIAR DE COLOMBIA,800058016.0,EMPRESA SOCIAL DEL ESTADO METROSALUD,1911400,
CCF033,EPS FAMILIAR DE COLOMBIA,800061765.0,ESE HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,7394575,
CCF033,EPS FAMILIAR DE COLOMBIA,800166905.0,NUCLEODIAGNOSTICO LTDA,5862000,
CCF033,EPS FAMILIAR DE COLOMBIA,800183943.0,CLINICA SANTA MARIA SAS,26628159,
CCF033,EPS FAMILIAR DE COLOMBIA,800191643.0,ESE HOSPITAL REGIONNAL II NIVEL DE SAN MARCOS,66794215,
CCF033,EPS FAMILIAR DE COLOMBIA,800204153.0,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE LORICA,12154894,
CCF033,EPS FAMILIAR DE COLOMBIA,800229958.0,ESCANOGRAFIA SINCELEJO SAS,25929467,
CCF033,EPS FAMILIAR DE COLOMBIA,802014132.0,INSTITUTO DE TRASPLANTE DE MÉDULA OSEA DE LA COSTA IPS S.A.S,1076269,
CCF033,EPS FAMILIAR DE COLOMBIA,802020334.0,QUIMIOSALUD S.A.S,10260000,
CCF033,EPS FAMILIAR DE COLOMBIA,805011262.0,RTS S.A.S,175275755,
CCF033,EPS FAMILIAR DE COLOMBIA,806010305.0,ESE HOSPITAL LOCAL CARTAGENA DE INDIAS,1451248,
CCF033,EPS FAMILIAR DE COLOMBIA,806012426.0,CLINICA CARDIOVASCULAR JESUS DE NAZARETH E.U,29203207,
CCF033,EPS FAMILIAR DE COLOMBIA,812001332.0,ESE SAN ANDRES APOSTOL,1435312,
CCF033,EPS FAMILIAR DE COLOMBIA,812002958.0,CLINICA LA TRINIDAD I.P.S. LTDA,32353419,
CCF033,EPS FAMILIAR DE COLOMBIA,812005522.0,FUNDACION AMIGOS DE LA SALUD,98709446,
CCF033,EPS FAMILIAR DE COLOMBIA,812005726.0,EMPRESA SOCIAL DEL ESTADO VIDASINU,11711516,
CCF033,EPS FAMILIAR DE COLOMBIA,812007194.0,ONCOMEDICA S.A.S,215176198,
CCF033,EPS FAMILIAR DE COLOMBIA,813001952.0,CLINICA MEDILASER S.A.S.,6796500,
CCF033,EPS FAMILIAR DE COLOMBIA,823000878.0,ESE CENTRO DE SALUD CARTAGENA DE INDIAS COROZAL,3419733,
CCF033,EPS FAMILIAR DE COLOMBIA,823002227.0,INSTITUTO DE CANCEROLOGIA DE SUCRE S.A.S.,19460075,
CCF033,EPS FAMILIAR DE COLOMBIA,823002778.0,CLINICA SANTA ISABEL SAS,8462798,
CCF033,EPS FAMILIAR DE COLOMBIA,823002800.0,OFTALMOLOGOS ASOCIADOS DE LA COSTA SAS,238175859,
CCF033,EPS FAMILIAR DE COLOMBIA,823002991.0,CLINICA SALUD SOCIAL S.A.S,3989579,
CCF033,EPS FAMILIAR DE COLOMBIA,823003752.0,I.P.S. UNIDAD MEDICA EL BOSQUE S.A.S.,3075000,
CCF033,EPS FAMILIAR DE COLOMBIA,823004895.0,UNIDAD MEDICA INTEGRAL DEL SAN JORGE LIMITADA,1109447,
CCF033,EPS FAMILIAR DE COLOMBIA,824001041.0,CLINICA MEDICOS S.A.,54455544,
CCF033,EPS FAMILIAR DE COLOMBIA,825003080.0,UNIDAD DE CUIDADOS INTENSIVOS RENACER LIMITADA,81536105,
CCF033,EPS FAMILIAR DE COLOMBIA,825003685.0,URMEDICAS VIP S.A.S,20631878,
CCF033,EPS FAMILIAR DE COLOMBIA,830504734.0,VISION TOTAL S.A.S,4911305,
CCF033,EPS FAMILIAR DE COLOMBIA,830510991.0,CLÍNICA ESPECIALIZADA LA CONCEPCIÓN S.A.S,505157395,
CCF033,EPS FAMILIAR DE COLOMBIA,830511549.0,RESONANCIA E IMÁGENES SANTA MARIA S.A,32056075,
CCF033,EPS FAMILIAR DE COLOMBIA,890100275.0,CLINICA DEL CARIBE S.A.,128610075,
CCF033,EPS FAMILIAR DE COLOMBIA,890102140.0,CLINICA LA ASUNCION,1919965,
CCF033,EPS FAMILIAR DE COLOMBIA,890400693.0,CLINICA BLAS DE LEZO S.A.,12228506,
CCF033,EPS FAMILIAR DE COLOMBIA,890480113.0,HOSPITAL REGIONAL NUESTRA SEÑORA DE LAS MERCEDES DE COROZAL E.S.E.,121119874,
