COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,"TOTAL GIRO 
AGOSTO 2023",OBSERVACIÓN
CCF033,EPS FAMILIAR DE COLOMBIA,800112725.0,FUNDACION OFTALMOLOGICA DEL CARIBE,7115384.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800183943.0,CLINICA SANTA MARIA SAS,12945351.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800191643.0,ESE HOSPITAL REGIONNAL II NIVEL DE SAN MARCOS,209449345.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800193989.0,CENTRO DIAGNOSTICO DE ESPECIALISTAS LTDA,96911952.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800194798.0,ORGANIZACION CLINICA BONNADONA PREVENIR S.A.S.,14591789.0,
CCF033,EPS FAMILIAR DE COLOMBIA,802020334.0,QUIMIOSALUD S.A.S,3962900.0,
CCF033,EPS FAMILIAR DE COLOMBIA,805011262.0,RTS S.A.S,160403975.0,
CCF033,EPS FAMILIAR DE COLOMBIA,806004548.0,CENTROMEDICO CRECER LTDA,2456800.0,
CCF033,EPS FAMILIAR DE COLOMBIA,806010305.0,ESE HOSPITAL LOCAL CARTAGENA DE INDIAS,4040678.0,
CCF033,EPS FAMILIAR DE COLOMBIA,811016192.0,HOSPITAL ALMA MÁTER DE ANTIOQUIA,3273848.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812002958.0,CLINICA LA TRINIDAD I.P.S. LTDA,32159232.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812003851.0,ESE HOSPITAL SAN JUAN DE SAHAGUN,6678537.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812005522.0,FUNDACION AMIGOS DE LA SALUD,127216871.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812005726.0,EMPRESA SOCIAL DEL ESTADO VIDASINU,1578070.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812007194.0,ONCOMEDICA S.A.S,100124468.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823001999.0,ESE CENTRO DE SALUD SAN PEDRO SUCRE,3765707.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823002227.0,INSTITUTO DE CANCEROLOGIA DE SUCRE S.A.S.,192391595.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823002541.0,ESE CENTRO DE SALUD DE LOS PALMITOS,29826835.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823002778.0,CLINICA SANTA ISABEL SAS,32835843.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823002800.0,OFTALMOLOGOS ASOCIADOS DE LA COSTA SAS,613839910.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823002991.0,CLINICA SALUD SOCIAL S.A.S,24634734.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823003752.0,I.P.S. UNIDAD MEDICA EL BOSQUE S.A.S.,9268095.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823004881.0,I.P.S. CLINICA GUARANDA SANA S.A.S.,9564000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823004895.0,UNIDAD MEDICA INTEGRAL DEL SAN JORGE LIMITADA,3080403.0,
CCF033,EPS FAMILIAR DE COLOMBIA,825003080.0,UNIDAD DE CUIDADOS INTENSIVOS RENACER LIMITADA,130498634.0,
CCF033,EPS FAMILIAR DE COLOMBIA,825003149.0,IPSI SUPULA WAYUU,6950000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,830104627.0,HOSPITAL CARDIOVASCULAR DE CUNDINAMARCA S.A,4583475.0,
CCF033,EPS FAMILIAR DE COLOMBIA,830120157.0,COLOMBIANA DE TRASPLANTES SAS,24320000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,830510991.0,CLÍNICA ESPECIALIZADA LA CONCEPCIÓN S.A.S,1081745318.0,
CCF033,EPS FAMILIAR DE COLOMBIA,830511549.0,RESONANCIA E IMÁGENES SANTA MARIA S.A,34910507.0,
CCF033,EPS FAMILIAR DE COLOMBIA,890480113.0,HOSPITAL REGIONAL NUESTRA SEÑORA DE LAS MERCEDES DE COROZAL E.S.E.,152762574.0,
CCF033,EPS FAMILIAR DE COLOMBIA,890480135.0,FUNDACION HOSPITAL INFANTIL NAPOLEON FRANCO PAREJA,18867074.0,
CCF033,EPS FAMILIAR DE COLOMBIA,890901826.0,HOSPITAL PABLO TOBON URIBE,14054267.0,
CCF033,EPS FAMILIAR DE COLOMBIA,890904646.0,"HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO",14690335.0,
CCF033,EPS FAMILIAR DE COLOMBIA,890982134.0,E.S.E. HOSPITAL PEDRO NEL CARDONA,1968700.0,
CCF033,EPS FAMILIAR DE COLOMBIA,890985603.0,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,2968350.0,
CCF033,EPS FAMILIAR DE COLOMBIA,892115010.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL NIVEL II,1060059.0,
CCF033,EPS FAMILIAR DE COLOMBIA,892120115.0,ESE HOSPITAL SAN JOSE DE MAICAO,241819290.0,
CCF033,EPS FAMILIAR DE COLOMBIA,892200273.0,CLINICA LAS PEÑITAS S.A.S,17722057.0,
CCF033,EPS FAMILIAR DE COLOMBIA,892201100.0,LIGA CONTRA EL CÁNCER SECCIONAL SUCRE,10695459.0,
CCF033,EPS FAMILIAR DE COLOMBIA,892280033.0,HOSPITAL UNIVERSITARIO DE SINCELEJO E.S.E,1009644778.0,
CCF033,EPS FAMILIAR DE COLOMBIA,892399994.0,HOSPITAL ROSARIO PUMAREJO DE LOPEZ - EMPRESA SOCIAL DEL ESTADO,61916637.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900005955.0,CLÍNICA LA ESPERANZA DE MONTERÍA S.A.S.,10623692.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900008328.0,OHI ORGANIZACIÓN HUMANA INTEGRAL S.A.,1882211.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900015779.0,SOCIEDAD DE HEMODINAMIA SANTA MARIA S.A.S,4327385.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900116275.0,UNIDAD DE DIAGNOSTICO CLINICO O IMAGENOLOGICO E.U.,5434594.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900118990.0,CENTRO DE FISIOTERAPIA REHABILITAR DRA. MARTA CANTILLO MARTINEZ S.A.S.,10585890.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900119472.0,IPS TOLUSALUD LTDA,11592213.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900164946.0,CLINICA PEDIATRICA NIÑO JESUS S.A.S,134686509.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900172745.0,UNIDAD DE DIAGNOSTICO GINECOLOGICO Y PRENATAL SER MUJER S.A.S,4021799.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900177624.0,ANASHIWAYA IPSI,42320642.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900188717.0,IPS IMAGEN DIAGNOSTICA S.A.S,73925623.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900196347.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA DIVINA MISERICORDIA,68163064.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900217343.0,CLINICA OFTALMOLOGICA DE SUCRE S.A.S,40925092.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900223749.0,FUNDACION UNIDAD DE CUIDADOS INTENSIVOS DOÑA PILAR,19016260.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900233294.0,CLINICA GENERAL DEL CARIBE S.A.,48650330.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900328332.0,CARDIOCARE SERVICES SAS,59093379.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900343468.0,VIA MEDICA SAS,2241444.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900386591.0,GYO MEDICAL I.P.S. S.A.S.,110068248.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900418184.0,DIGITALDENT SERVICIOS SAS,11105651.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900446776.0,ASISDE IPS SAS,14272000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900449481.0,MEDICINA INTEGRAL DEL CARIBE SAS,6075043.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900468210.0,CENTRO DE RESONANCIA MAGNETICA DEL NORTE S.A.S,17010268.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900492815.0,UNIDAD MATERNO INFANTIL TALAPUIN S.A.S.,15243484.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900508066.0,CMIACIPSGUAJIRA SAS,20985165.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900513306.0,FUNDACION MARIA REINA,1041066.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900550249.0,IPS CARDIOCENTRO PEDIATRICO DE SUCRE S.A.S,14373030.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900552539.0,SOCIEDAD UNIDAD INTEGRAL DE SALUD MENTAL SION SAS,8034476.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900581036.0,GASTROCENTRO S.A.S,6055235.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900600550.0,INVERSIONES MEDICAS BARU S.A.S,5666452.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900601052.0,UNIDAD PEDIÁTRICA SIMÓN BOLÍVAR IPS SAS,41966528.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900602320.0,CLINICA LA MISERICORDIA,4278186.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900656493.0,IPS PUNTO VITAL SAS,94867660.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900681399.0,ASESORÍA DE ATENCIÓN INTEGRAL EN SALUD IPS SAS,3110000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900691119.0,ORTOPEDICA EUROPEA S.A.S.,358310651.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900718559.0,CLINICA CARDIODAJUD SAS,2649935.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900729157.0,RESONANCIA DE ALTA TECNOLOGIA DEL CARIBE SAS,1761342.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900780041.0,"IPS PEDIATRICA ""PASTOR Y MARIA"" S.A.S.",2985000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900784418.0,FISIOMED INTEGRAL S.A.S,1385457.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900794134.0,IPS INDIGENA KOTTUSHI SAO ANA>A,756500000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900798865.0,911 ASITENCIA MEDICA DOMICILIARIA IPS SAS,215616779.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900839714.0,PROFHARMA SALUD IPS S.A.S,29486566.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900839869.0,CLINICA SANTA ANA DE DIOS S.A.S.,185456991.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900842629.0,GESTAR SALUD DE COLOMBIA IPS SAS,1700000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900862842.0,CENTRO DE OTORRINOLARINGOLOGIA Y FONOAUDIOLOGIA DE LA SABANA S.A.S,66597175.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900919030.0,IPS LA DIVINA MISERICORDIA S.A.S,161971597.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900926475.0,DAZALUD IPS,1276415.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900943534.0,DIAGNOSTISALUD S.A.S,20092602.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900957139.0,SERVICIOS DE SALUD ESPECIALIZADOS S.A.S,7393900.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900957660.0,DELTA SALUD S.A.S,80975712.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900959048.0,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE E.S.E,16301578.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900966539.0,FUNDACION TRAZANDO CAMINOS,110236591.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900995574.0,MEDIPOHDS,343615512.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901085352.0,INSTITUTO MEDICO DE ALTA TECNOLOGÍA S.A.S,88326143.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901094037.0,TRAUMACENTRO S.A.S,3532960.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901129333.0,INSTITUTO DE SISTEMA NERVIOSO DE CORDOBA,75576780.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901139193.0,MIRED BARRANQUILLA IPS S.A.S.,40455264.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901182802.0,SERVICIOS MEDICOS INTEGRALES IPS S.A.S,572615596.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901204233.0,ROSARY HEALTH CARE SAS,28496772.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901341454.0,INTTEGRAL I.P.S S.A.S,1695000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901353186.0,UCI LAS MERCEDES DE COROZAL SAS,7336467.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901483168.0,GHG GLOBAL HEALTH GROUP SAS,199335785.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901489682.0,CLINICA DE SALUD MENTAL SANTA TERESA SAS,8958467.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901494060.0,CENTRO MEDICO DE ESPECIALALISTA LAS PENINSULAS IPS S.A.S,6805185.0,
CCF050,COMFAORIENTE,800012189.0,CLINICA SAN JOSE DE CUCUTA SA,1065656368.0,
CCF050,COMFAORIENTE,800014918.0,E.S.E. HOSPITAL UNIVERSITARIO ERASMO MEOZ,2040970045.0,
CCF050,COMFAORIENTE,800084206.0,EMPRESA SOCIAL DEL ESTADO INSTITUTO DE SALUD DE BUCARAMANGA,4955917.0,
CCF050,COMFAORIENTE,800099778.0,ASOCIACIÓN NIÑOS DE PAPEL,3198841.0,
CCF050,COMFAORIENTE,800106375.0,NUCLEAR SAN JOSE S.A.,25155302.0,
CCF050,COMFAORIENTE,800165163.0,ODONTOCUCUTA S.A,6747434.0,
CCF050,COMFAORIENTE,800231215.0,HOSPITAL DEL SARARE ESE,3098784.0,
