COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,FORMA DE CONTRATACIÓN,"TOTAL GIRO 
DICIEMBRE 2023",OBSERVACIÓN
EPSS02,Salud Total,800149453.0,CPO SA,Evento,4989289703.0,
EPSS02,Salud Total,890801274.0,HOSPITAL DEPARTAMENTAL SAN CAYETANO DE MARQUETALIA EMPRESA SOCIAL DEL ESTADO E.S.E,Evento,3237209.0,
EPSS02,Salud Total,890801719.0,E.S.E. HOSPITAL LOCAL SAN JUAN DE DIOS,Evento,5346870.0,
EPSS02,Salud Total,900016598.0,INSTITUTO CARDIOVASCULAR DEL CESAR S.A,Evento,20178206.0,
EPSS02,Salud Total,900112364.0,SOCIEDAD CARDIOVASCULAR DEL CARIBE COLOMBIANO S.A.S,Evento,43393854.0,
EPSS02,Salud Total,900141569.0,BIOTECNOLOGIA Y GENETICA S.A.S BIOTECGEN S.A.S,Evento,11907355.0,
EPSS02,Salud Total,900244429.0,TECNOVIDA DIAGNOSTICO POR IMAGENES S.A.S.,Evento,1517040.0,
EPSS02,Salud Total,900420664.0,GRUPO EMPRESARIAL SALUD POSITIVA S.A.S.,Evento,95959892.0,
EPSS02,Salud Total,900838988.0,AIR LIQUIDE COLOMBIA SAS,Evento,177412205.0,
EPSS05,Sanitas,809002913.0,PROMOVER SAS,Evento,1750075.0,
EPSS05,Sanitas,830104627.0,HOSPITAL CARDIOVASCULAR DE CUNDINAMARCA S.A,Evento,37019923.0,
EPSS05,Sanitas,890102140.0,CLINICA LA ASUNCION,Evento,74288306.0,
EPSS05,Sanitas,891103889.0,E.S.E. HOSPITAL LOCAL SANTA TERESA DE TESALIA,Evento,54302369.0,
EPSS05,Sanitas,891180190.0,ESE HOSPITAL NUESTRA SEÑORA DE FATIMA DE SUAZA,Evento,16597278.0,
EPSS05,Sanitas,900280774.0,WOUND CLINIC S.A.S.,Evento,13327260.0,
EPSS05,Sanitas,900309444.0,HOSPICLINIC DE COLOMBIA S.A.S.,Evento,101573398.0,
EPSS05,Sanitas,900624003.0,IPS EMERGENCIAS MEDICAS PUERTO ASIS SAS,Evento,2695433.0,
EPSS05,Sanitas,900685946.0,HOSPITAL LAS AMERICAS LTDA,Evento,4279268.0,
EPSS05,Sanitas,900819553.0,BIOSAMAR UNIDAD MEDICA ESPECIALIZADA IPS SAS,Evento,26059721.0,
EPSS05,Sanitas,900893306.0,NEUROCESAR SAS,Evento,6324000.0,
EPSS05,Sanitas,900900122.0,HEALTH & LIFE IPS SAS SIGLA H&L UCC SAS,Evento,129604658.0,
EPSS10,Suramericana,800000118.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL DEPARTAMENTAL UNIVERSITARIO DEL QUINDIO SAN JUAN DE DIOS,Evento,117044619.0,
EPSS10,Suramericana,800149026.0,INSTITUTO DE CANCEROLOGIA S.A.S.,Evento,809562033.0,
EPSS10,Suramericana,800174123.0,ESE HOSPITAL DE SANTO TOMAS,Evento,15425626.0,
EPSS10,Suramericana,800225057.0,AYUDAS DIAGNOSTICAS SURA S.A.S,Evento,1758356705.0,
EPSS10,Suramericana,800227877.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,Evento,40899247.0,
EPSS10,Suramericana,802020128.0,INVERCLINICAS S.A.S.,Evento,78038092.0,
EPSS10,Suramericana,802022775.0,CENTRO DE SALUD AGRUPASALUD IPS SAS,Evento,9279590.0,
EPSS10,Suramericana,804010334.0,MEDIIMPLANTES S.A,Evento,37560528.0,
EPSS10,Suramericana,805023423.0,SOCIEDAD N.S.D.R. S.A.S,Evento,22471623.0,
EPSS10,Suramericana,806003489.0,UNIDAD CARDIOLOGICA DE CARTAGENA LTDA,Evento,5241937.0,
EPSS10,Suramericana,806007650.0,CENTRO RADIO-ONCOLOGICO DEL CARIBE S.A.S.,Evento,18710751.0,
EPSS10,Suramericana,811032818.0,SALUD TREC S.A.S,Evento,55832857.0,
EPSS10,Suramericana,830007355.0,FRESENIUS MEDICAL CARE COLOMBIA S.A.,Evento,447962661.0,
EPSS10,Suramericana,830102932.0,CENTRO OCULAR DE MIOPIA DR RINCON SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Evento,62040785.0,
EPSS10,Suramericana,830509497.0,MEDICINA INTEGRAL IPS S.A,Evento,2469541.0,
EPSS10,Suramericana,860007336.0,CAJA COLOMBIANA DE SUBSIDIO FAMILIAR COLSUBSIDIO,Evento,5337989780.0,
EPSS10,Suramericana,890100275.0,CLINICA DEL CARIBE S.A.,Evento,220272222.0,
EPSS10,Suramericana,890208758.0,CLINICA MATERNO INFANTIL SAN LUIS S.A,Evento,169838729.0,
EPSS10,Suramericana,890300513.0,CLINICA DE OCCIDENTE,Evento,549792780.0,
EPSS10,Suramericana,890303461.0,E.S.E. HOSPITAL UNIVERSITARIO DEL VALLE EVARISTO GARCIA EMPRESA SOCIAL DEL ESTADO,Evento,1062413.0,
EPSS10,Suramericana,890901826.0,HOSPITAL PABLO TOBON URIBE,Evento,935580696.0,
EPSS10,Suramericana,890902151.0,E.S.E. HOSPITAL SANTA ISABEL,Evento,6363467.0,
EPSS10,Suramericana,890905198.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTAMARIA,Evento,4667265.0,
EPSS10,Suramericana,890906211.0,E.S.E. HOSPITAL MUNICIPAL SAN ROQUE,Evento,1256730.0,
EPSS10,Suramericana,891409981.0,CLINICA LOS ROSALES S.A,Evento,284435753.0,
EPSS10,Suramericana,899999123.0,FUNDACION HOSPITAL DE LA MISERICORDIA,Evento,31394027.0,
EPSS10,Suramericana,899999151.0,E.S.E HOSPITAL SAN RAFAEL DE FACATATIVÁ,Evento,2859542.0,
EPSS10,Suramericana,900004894.0,HOSPITAL REGIONAL SEGUNDO NIVEL DE ATENCIÓN VALLE DE TENZA E.S.E.,Evento,3341700.0,
EPSS10,Suramericana,900006221.0,AMBULANCIAS AEREAS DE COLOMBIA S.A.S.,Evento,10849656.0,
EPSS10,Suramericana,900124689.0,FUNDACION SOMA,Evento,26478269.0,
EPSS10,Suramericana,900196347.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA DIVINA MISERICORDIA,Evento,1957414.0,
EPSS10,Suramericana,900248010.0,FUNDACION CENTRO VASCULAR DE OCCIDENTE,Evento,1823630.0,
EPSS10,Suramericana,900277244.0,HELPHARMA SAS,Evento,3058964278.0,
EPSS10,Suramericana,900390423.0,PROMOTORA CLINICA ZONA FRANCA DE URABA SAS,Evento,679607488.0,
EPSS10,Suramericana,900617997.0,VIVESSALUD EJE CAFETERO S.A.S.,Evento,8518183.0,
EPSS10,Suramericana,900699359.0,NEUROMEDICA SAS,Evento,1461160596.0,
EPSS10,Suramericana,901085352.0,INSTITUTO MEDICO DE ALTA TECNOLOGÍA S.A.S,Evento,1357541.0,
EPSS37,Nueva Eps,860013704.0,GASES INDUSTRIALES DE COLOMBIA S.A.,Evento,182675442.0,
EPSS37,Nueva Eps,900006221.0,AMBULANCIAS AEREAS DE COLOMBIA S.A.S.,Evento,1170075900.0,
EPSS37,Nueva Eps,900343773.0,CENTRO OFTALMOLOGICO LYND NEWBALL,Evento,59360941.0,
EPSS37,Nueva Eps,900850834.0,CLINICA NUEVA DE CARTAGO SAS,Evento,951762200.0,
EPSS37,Nueva Eps,900986941.0,UNIDAD PRESTADORA DE SERVICIOS DE SALUD MENTAL UNIPSSAM SAS,Evento,136699608.0,
EPSS37,Nueva Eps,901160407.0,CLINICOS FLORENCIA ZOMAC S.A.S,Evento,36488162.0,
EPSS40,Savia Salud,800241602.0,FUNDACION COLOMBIANA DE CANCEROLOGIA CLINICA VIDA,Evento,1953451165.88,
EPSS40,Savia Salud,811016192.0,HOSPITAL ALMA MÁTER DE ANTIOQUIA,Evento,8998803162.0,
EPSS40,Savia Salud,890900518.0,FUNDACION HOSPITALARIA SAN VICENTE DE PAUL,Evento,10500005543.0,
EPSS40,Savia Salud,890901826.0,HOSPITAL PABLO TOBON URIBE,Evento,7990749472.0,
EPSS40,Savia Salud,890905177.0,E.S.E. HOSPITAL LA MARIA,Evento,6269951947.0,
EPSS40,Savia Salud,890985122.0,COOPERATIVA DE HOSPITALES DE ANTIOQUIA,Evento,12942377288.0,
EPSS42,Coosalud,891501676.0,"HOSPITAL SUSANA LOPEZ DE VALENCIA, EMPRESA SOCIAL DEL ESTADO",Evento,45720765.42,
EPSS42,Coosalud,900272582.0,CLINICA ALTA COMPLEJIDAD SAN JUAN BAUTISTA S.A.S,Evento,8259772.01,
EPSS40,Savia Salud,800133887.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO DE ASIS,Evento,9036530.0,
EPSS40,Savia Salud,846000253.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL LOCAL,Evento,1411073.0,
EPSS40,Savia Salud,890980486.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Evento,28137421.0,
EPSS40,Savia Salud,900137119.0,HOME GROUP S.A.S,Evento,494891827.78,
EPSS42,Coosalud,802003081.0,E.S.E. HOSPITAL MUNICIPAL DE SABANAGRANDE,Evento,119855.04,
EPSS40,Savia Salud,800014884.0,ESE HOSPITAL HÉCTOR ABAD GÓMEZ,Evento,28857827.0,
EPSS40,Savia Salud,890907297.0,ESE HOSPITAL SAN JUAN DE DIOS,Evento,8804014.0,
EPSS40,Savia Salud,890980855.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Evento,1530096.0,
EPSS42,Coosalud,802003081.0,E.S.E. HOSPITAL MUNICIPAL DE SABANAGRANDE,Evento,179782.56,
EPSS40,Savia Salud,800123106.0,ESE HOSPITAL VENANCIO DIAZ DIAZ,Evento,93277170.0,
EPSS40,Savia Salud,890980444.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,Evento,15203467.0,
EPSS40,Savia Salud,891900441.0,HOSPITAL DEPARTAMENTAL SAN RAFAEL DE ZARZAL E.S.E.,Evento,2487540.0,
EPSS42,Coosalud,844004197.0,RED SALUD CASANARE E.S.E.,Evento,1262705.2,
EPSS40,Savia Salud,800241602.0,FUNDACION COLOMBIANA DE CANCEROLOGIA CLINICA VIDA,Evento,2118953535.12,
EPSS42,Coosalud,890807591.0,SERVICIOS ESPECIALES DE SALUD-SES HOSPITAL UNIVERSITARIO DE CALDAS,Evento,291117.52,
EPSS42,Coosalud,806007343.0,ESE HOSPITAL SAN NICOLAS DE TOLENTINO,Evento,1114987.77,
EPSS40,Savia Salud,900298928.0,ARTMEDICA S.A.S,Evento,603688619.32,
EPSS42,Coosalud,806007567.0,ESE HOSPITAL SAN JUAN DE PUERTO RICO,Evento,2263956.33,
EPSS40,Savia Salud,900022519.0,FUNDACION LUCERITO,Evento,207200000.0,
EPSS10,Suramericana,800200789.0,CLINICA CHIA S.A.S.,Evento,16682440.0,
EPSS10,Suramericana,800227279.0,TECNITRAUMA S.A.,Evento,10139985.0,
EPSS10,Suramericana,810001159.0,ESE HOSPITAL DEPARTAMENTAL SAN JOSE DE SAN JOSE,Evento,1043236.0,
EPSS10,Suramericana,811017810.0,E.S.E. HOSPITAL DEL SUR GABRIEL JARAMILLO PIEDRAHITA,Evento,1151438.0,
EPSS10,Suramericana,830017969.0,UNIDAD MEDICA SANTAFE SAS,Evento,2082534.0,
EPSS10,Suramericana,830090073.0,ASOCIACION DE AMIGOS CONTRA EL CANCER PROSEGUIR,Evento,13002579.0,
EPSS10,Suramericana,890905166.0,"E.S.E. HOSPITAL MENTAL DE ANTIOQUIA ""MARÍA UPEGUI - HOMO""",Evento,20242695.0,
EPSS10,Suramericana,890980643.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,Evento,3035026.0,
EPSS10,Suramericana,890980752.0,E.S.E. SAN JUAN DE DIOS DE MARINILLA,Evento,5879303.0,
EPSS10,Suramericana,890982183.0,E.S.E. HOSPITAL SAN RAFAEL DE ANGOSTURA,Evento,1712817.0,
EPSS10,Suramericana,891855029.0,HOSPITAL REGIONAL DE LA ORINOQUIA E.S.E.,Evento,1532218.0,
EPSS10,Suramericana,900374337.0,BIOMAB I P S SAS SIGLA BIOMAB I P S,Evento,6490442.0,
EPSS10,Suramericana,900604660.0,PERINATAL CARE SAS,Evento,8636901.0,
EPSS10,Suramericana,900812656.0,FUNDACIÓN CONSTRUYENDO TEJIDO SOCIAL POR LA EQUIDAD A LAS VICTIMAS POR LA VIOLENCIA Y FAMILIAS DE ESCASOS RECURSOS,Evento,3150229.0,
EPSS10,Suramericana,900826841.0,MEDICINA Y TERAPIAS DOMICILIARIAS S.A.S.,Evento,4179516.0,
EPSS10,Suramericana,901340450.0,YEPES RESTREPO OTORRINOS S.A.S.,Evento,2353014.0,
EPSS40,Savia Salud,890904646.0,"HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO",Evento,1617840529.19,
EPSS40,Savia Salud,891079999.0,ESE HOSPITAL SAN JERÓNIMO DE MONTERÍA,Evento,744359064.88,
EPSS40,Savia Salud,900236850.0,CENTRO ONCOLOGICO DE ANTIOQUIA SA,Evento,1152358906.09,
EPSS41,Nueva Eps,900431550.0,CLINICA LA VICTORIA S.A.S.,Evento,5573382.0,
EPSS41,Nueva Eps,900886925.0,IPS MECAS SALUD DOMICILIARIA SAS,Evento,274812798.0,
EPSS42,Coosalud,891411663.0,ESE HOSPITAL SANTA MÓNICA,Evento,464264.86,
EPSS40,Savia Salud,890982264.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Evento,1400861127.02,
EPSS41,Nueva Eps,812005644.0,CLINICA REGIONAL DEL SAN JORGE AGENCIA YOPAL,Evento,90092772.0,
EPSS41,Nueva Eps,900448248.0,FONOCENTER SAS,Evento,4680241.0,
EPSS41,Nueva Eps,900504265.0,PROYECTAR SALUD SAS,Evento,11870963.0,
EPSS40,Savia Salud,811044106.0,OXIVITAL S.A.,Evento,541614677.87,
EPSS40,Savia Salud,830504734.0,VISION TOTAL S.A.S,Evento,588516584.65,
EPSS40,Savia Salud,890980757.0,ESE HOSPITAL CESAR URIBE PIEDRAHITA,Evento,1081998020.72,
EPSS02,Salud Total,800138311.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,Evento,1568503.0,
EPSS02,Salud Total,804006936.0,ESE CLINICA GUANE Y SU RED INTEGRAL DE SALUD,Evento,2759159.0,
EPSS02,Salud Total,806016225.0,CENTRO MEDICO BUENOS AIRES SAS,Evento,6468000.0,
EPSS02,Salud Total,890205361.0,FUNDACION OFTALMOLOGICA DE SANTANDER - FOSCAL,Evento,149107366.0,
EPSS02,Salud Total,890700901.0,HOSPITAL SAN VICENTE DE PAUL EMPRESA SOCIAL DEL ESTADO,Evento,257247440.0,
EPSS02,Salud Total,890706823.0,HOSPITAL REINA SOFIA DE ESPAÑA EMPRESA SOCIAL DEL ESTADO LERIDA TOLIMA,Evento,514057501.0,
EPSS02,Salud Total,891200528.0,E.S.E. HOSPITAL UNIVERSITARIO DEPARTAMENTAL DE NARIÑO,Evento,23192680.0,
EPSS02,Salud Total,900015779.0,SOCIEDAD DE HEMODINAMIA SANTA MARIA S.A.S,Evento,81944639.0,
EPSS02,Salud Total,900807482.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL DE LA VEGA,Evento,8950468.0,
EPSS02,Salud Total,901336751.0,CLINIVIDA Y SALUD IPS SAS,Evento,32807092.0,
EPSS10,Suramericana,800044402.0,INVERSIONES MEDICAS DE ANTIOQUIA S.A. CLINICA LAS VEGAS,Evento,326943608.0,
EPSS10,Suramericana,800044967.0,ASSBASALUD ESE,Evento,10855170.0,
EPSS10,Suramericana,800179870.0,HOSPITAL SAN ANDRES E.S.E.,Evento,4686396.0,
EPSS10,Suramericana,800197601.0,ANGIOGRAFIA DE OCCIDENTE S.A.,Evento,23665132.0,
EPSS10,Suramericana,800228215.0,CENTRO DE ALTA TECNOLOGIA DIAGNOSTICA DEL EJE CAFETERO S.A. - CEDICAF S.A.,Evento,38833704.0,
EPSS10,Suramericana,800249700.0,INSTITUTO NEUMOLOGICO DEL ORIENTE S.A.,Evento,17913060.0,
EPSS10,Suramericana,802010728.0,UROCENTRO LTDA,Evento,1646029.0,
EPSS10,Suramericana,802012266.0,UNIGASTRO S.A.S.,Evento,120476566.0,
EPSS10,Suramericana,802021182.0,I.P.S. UNIDAD MEDICA ETICA S.A.S.,Evento,25268728.0,
EPSS10,Suramericana,805016006.0,"AMIGOS DE LA SALUD, AMISALUD SAS",Evento,3223315.0,
EPSS10,Suramericana,811007832.0,SERVICIOS DE SALUD IPS SURAMERICANA S.A.S,Evento,594120380.0,
EPSS10,Suramericana,813010996.0,ESE HOSPITAL SAN JOSE DE ISNOS,Evento,1137262.0,
EPSS10,Suramericana,860013874.0,INSTITUTO ROOSEVELT,Evento,56034372.0,
EPSS10,Suramericana,890000600.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA IPS,Evento,8446999.0,
EPSS10,Suramericana,890001098.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL FILANDIA,Evento,6369760.0,
EPSS10,Suramericana,890102140.0,CLINICA LA ASUNCION,Evento,273973015.0,
EPSS10,Suramericana,890209698.0,CLINICA CHICAMOCHA S.A,Evento,185208168.0,
EPSS10,Suramericana,890212568.0,FUNDACION CARDIOVASCULAR DE COLOMBIA,Evento,483348842.0,
EPSS10,Suramericana,890801099.0,ESE HOSPITAL DEPARTAMENTAL UNIVERSITARIO SANTA SOFIA DE CALDAS,Evento,61146307.0,
EPSS10,Suramericana,890905154.0,CLINICA SAN JUAN DE DIOS LA CEJA,Evento,134498885.0,
EPSS10,Suramericana,890930071.0,ESCANOGRAFÍA NEUROLÓGICA S.A,Evento,16024652.0,
EPSS10,Suramericana,890981851.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN,Evento,5267732.0,
EPSS10,Suramericana,891300047.0,CLINICA PALMIRA S.A.,Evento,77662366.0,
EPSS10,Suramericana,891500084.0,HOSPITAL FRANCISCO DE PAULA SANTANDER E.S.E. NIVEL II,Evento,2168651.0,
EPSS10,Suramericana,891900361.0,E.S.E. HOSPITAL LOCAL SANGRADA FAMILIA EMPRESA SOCIAL DEL ESTADO,Evento,2320796.0,
EPSS10,Suramericana,891900441.0,HOSPITAL DEPARTAMENTAL SAN RAFAEL DE ZARZAL E.S.E.,Evento,1589742.0,
EPSS10,Suramericana,900322287.0,I.P.S. OPTICA LA PLAZUELA S.A.S,Evento,3024261.0,
EPSS10,Suramericana,900385457.0,ASISTENCIA Y LOGISTICA PRE HOSPITALARIA DE ANTIOQUIA S.A.S,Evento,31137473.0,
EPSS10,Suramericana,900421895.0,FUNDACIÓN CLINICA DEL NORTE,Evento,39979171.0,
EPSS10,Suramericana,900670943.0,GASTRO PACK SAS,Evento,9309802.0,
EPSS40,Savia Salud,890700901.0,HOSPITAL SAN VICENTE DE PAUL EMPRESA SOCIAL DEL ESTADO,Evento,1316792.0,
EPSS40,Savia Salud,890906347.0,ESE HOSPITAL MANUEL URIBE ANGEL,Evento,7683001006.0,
EPSS40,Savia Salud,890907254.0,HOSPITAL SAN JUAN DE DIOS E.S.E RIONEGRO - ANTIOQUIA,Evento,855880764.15,
EPSS40,Savia Salud,890981108.0,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,Evento,24713392.0,
EPSS40,Savia Salud,890982113.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL GUSTAVO GONZALEZ OCHOA,Evento,9539566.0,
EPSS40,Savia Salud,890982134.0,E.S.E. HOSPITAL PEDRO NEL CARDONA,Evento,61369883.0,
EPSS40,Savia Salud,890980326.0,HOSPITAL SAN JUAN DE DIOS EL SANTUARIO,Evento,6626880.0,
EPSS40,Savia Salud,890980643.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,Evento,18069007.0,
EPSS40,Savia Salud,891410661.0,ESE HOSPITAL SANTA ANA,Evento,1154913.0,
EPSS40,Savia Salud,900406304.0,MEDITECX SAS,Evento,99471454.0,
EPSS40,Savia Salud,812005522.0,FUNDACION AMIGOS DE LA SALUD,Evento,869555281.47,
EPSS40,Savia Salud,800014405.0,ESE HOSPITAL SANTA ISABEL,Evento,74556421.0,
EPSS40,Savia Salud,890981096.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,Evento,6380190.0,
EPSS40,Savia Salud,890981424.0,E.S.E. HOSPITAL SAN JOSE,Evento,18055130.0,
EPSS40,Savia Salud,890985405.0,ESE HOSPITAL CARISMA,Evento,1272890.0,
EPSS40,Savia Salud,891079999.0,ESE HOSPITAL SAN JERÓNIMO DE MONTERÍA,Evento,355767552.12,
EPSS42,Coosalud,900066345.0,E.S.E. HOSPITAL LOCAL DE PIEDECUESTA,Evento,732014.9,
EPSS42,Coosalud,890907279.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Evento,61886.15,
EPSS40,Savia Salud,801001440.0,RED SALUD ARMENIA ESE UNIDAD INTERMEDIA DEL SUR,Evento,1415223.0,
EPSS40,Savia Salud,890907279.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Evento,16592073.0,
EPSS40,Savia Salud,890981137.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO VALDERRAMA,Evento,98361479.0,
EPSS42,Coosalud,891180098.0,HOSPITAL DEPARTAMENTAL MARIA INMACULADA ESE,Evento,2089040.23,
EPSS42,Coosalud,891411663.0,ESE HOSPITAL SANTA MÓNICA,Evento,419514.56,
EPSS40,Savia Salud,890907215.0,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE CALDAS,Evento,627739981.89,
EPSS40,Savia Salud,900857186.0,ANGIOSUR S.A.S.,Evento,1506398865.82,
EPSS40,Savia Salud,890980003.0,EMPRESA SOCIAL DEL ESTADO SAN JUAN DE DIOS,Evento,300204473.0,
EPSS40,Savia Salud,900532504.0,DAVITA S.A.S.,Evento,1023754234.66,
EPSS40,Savia Salud,800165050.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN BARTOLOMÉ,Evento,4769300.0,
EPSS40,Savia Salud,800139704.0,E.S.E. HOSPITAL PEDRO CLAVER AGUIRRE YEPES,Evento,2604593.0,
EPSS40,Savia Salud,890906560.0,ESE HOSPITAL SAN RAFAEL DE SANTO DOMINGO,Evento,10270680.0,
