COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,"TOTAL GIRO 
ENERO 2023",OBSERVACIÓN
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,800183943.0,CLINICA SANTA MARIA SAS,570717834,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,800191643.0,ESE HOSPITAL REGIONNAL II NIVEL DE SAN MARCOS,169417126,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,800229958.0,ESCANOGRAFIA SINCELEJO SAS,25335046,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,802020334.0,QUIMIOSALUD S.A.S,4702500,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,805011262.0,RTS S.A.S,189972464,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,812002958.0,CLINICA LA TRINIDAD I.P.S. LTDA,1704833,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,812005522.0,FUNDACION AMIGOS DE LA SALUD,100377834,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,812005726.0,EMPRESA SOCIAL DEL ESTADO VIDASINU,51535734,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,812007194.0,ONCOMEDICA S.A.S,66844024,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,819002228.0,CENTRO DE IMÁGENES DIAGNOSTICAS SANTA MARTA S.A.S,3030302,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,823000878.0,ESE CENTRO DE SALUD CARTAGENA DE INDIAS COROZAL,1916729,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,823002227.0,INSTITUTO DE CANCEROLOGIA DE SUCRE S.A.S.,155879327,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,823002342.0,IPS CLINICA DE VARICES S.A.S.,201617348,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,823002800.0,OFTALMOLOGOS ASOCIADOS DE LA COSTA SAS,76357224,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,823002991.0,CLINICA SALUD SOCIAL S.A.S,1346546,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,823003752.0,I.P.S. UNIDAD MEDICA EL BOSQUE S.A.S.,13890560,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,823004881.0,I.P.S. CLINICA GUARANDA SANA S.A.S.,7025135,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,825003685.0,URMEDICAS VIP S.A.S,6559198,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,830010337.0,SANOFI-AVENTIS DE COLOMBIA S.A.,48417852,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,830134195.0,SOSALUD SAS,10205000,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,830510991.0,CLÍNICA ESPECIALIZADA LA CONCEPCIÓN S.A.S,588054052,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,830511549.0,RESONANCIA E IMÁGENES SANTA MARIA S.A,47412119,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,890480113.0,HOSPITAL REGIONAL NUESTRA SEÑORA DE LAS MERCEDES DE COROZAL E.S.E.,113046735,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,890981374.0,FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA,14206221,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,891000736.0,E.S.E. HOSPITAL SAN NICOLAS,2531281,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,891079999.0,ESE HOSPITAL SAN JERÓNIMO DE MONTERÍA,10134591,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,892200273.0,CLINICA LAS PEÑITAS S.A.S,27376527,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,892280033.0,HOSPITAL UNIVERSITARIO DE SINCELEJO E.S.E,403065708,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900015779.0,SOCIEDAD DE HEMODINAMIA SANTA MARIA S.A.S,118365576,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900047571.0,IPSI OUTAJIAPALA,45000000,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900116275.0,UNIDAD DE DIAGNOSTICO CLINICO O IMAGENOLOGICO E.U.,4139523,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900118990.0,CENTRO DE FISIOTERAPIA REHABILITAR DRA. MARTA CANTILLO MARTINEZ S.A.S.,127340036,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900119472.0,IPS TOLUSALUD LTDA,10779000,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900164946.0,CLINICA PEDIATRICA NIÑO JESUS S.A.S,45070164,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900172745.0,UNIDAD DE DIAGNOSTICO GINECOLOGICO Y PRENATAL SER MUJER S.A.S,2634482,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900188717.0,IPS IMAGEN DIAGNOSTICA S.A.S,55006564,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900217343.0,CLINICA OFTALMOLOGICA DE SUCRE S.A.S,29836638,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900219120.0,VIVA 1A IPS SA,394204000,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900233294.0,CLINICA GENERAL DEL CARIBE S.A.,5077827,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900296050.0,ODONTO TOTAL E.U.,22300031,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900324225.0,"SOCIEDAD PARA LA ATENCION MEDICA E IMAGENES DIAGNOSTICAS SAS ""SOMID SAS """,29576632,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900449481.0,MEDICINA INTEGRAL DEL CARIBE SAS,2228720,
