COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,FORMA DE CONTRATACIÓN,"TOTAL GIRO 
ENERO 2024",OBSERVACIÓN
CCF033,COMFASUCRE,911 ASITENCIA MEDICA DOMICILIARIA IPS SAS,Evento,900798865.0,278908985,
CCF033,COMFASUCRE,AMBULANCIAS AB IPS S.A.S,Evento,900803163.0,22760879,
CCF033,COMFASUCRE,ANASHIWAYA IPSI,Evento,900177624.0,124404582,
CCF033,COMFASUCRE,ASISDE IPS SAS,Evento,900446776.0,56825000,
CCF033,COMFASUCRE,ASOCIACIÓN PROFAMILIA,Evento,860013779.0,18386850,
CCF033,COMFASUCRE,CARDIOCARE SERVICES SAS,Evento,900328332.0,128478163,
CCF033,COMFASUCRE,CENTRO DE FISIOTERAPIA REHABILITAR DRA. MARTA CANTILLO MARTINEZ S.A.S.,Evento,900118990.0,106875000,
CCF033,COMFASUCRE,CENTRO DE OTORRINOLARINGOLOGIA Y FONOAUDIOLOGIA DE LA SABANA S.A.S,Evento,900862842.0,40374881,
CCF033,COMFASUCRE,CENTRO DE REHABILITACION TERAPEUTICO INTEGRAL S.A.S.,Evento,900734605.0,18244419,
CCF033,COMFASUCRE,CENTRO DE RESONANCIA MAGNETICA DEL NORTE S.A.S,Evento,900468210.0,14435885,
CCF033,COMFASUCRE,CENTRO DIAGNOSTICO DE ESPECIALISTAS LTDA,Evento,800193989.0,27304067,
CCF033,COMFASUCRE,CENTRO MEDICO DE ESPECIALALISTA LAS PENINSULAS IPS S.A.S,Evento,901494060.0,9419280,
CCF033,COMFASUCRE,CENTRO SALUD DE LA GUAJIRA S.A.S,Evento,900728399.0,55598117,
CCF033,COMFASUCRE,CLINICA CARDIO INTEGRAL IPS. SAS,Evento,900090247.0,13061280,
CCF033,COMFASUCRE,CLINICA DE SALUD MENTAL SANTA TERESA SAS,Evento,901489682.0,2041851,
CCF033,COMFASUCRE,CLÍNICA ESPECIALIZADA LA CONCEPCIÓN S.A.S,Evento,830510991.0,361246584,
CCF033,COMFASUCRE,CLINICA GENERAL DEL CARIBE S.A.,Evento,900233294.0,189097277,
CCF033,COMFASUCRE,CLINICA MATERNO INFANTIL CASA DEL NIÑO S.A.S,Evento,812004935.0,22445482,
CCF033,COMFASUCRE,CLINICA OFTALMOLOGICA DE SUCRE S.A.S,Evento,900217343.0,28532789,
CCF033,COMFASUCRE,CLINICA PEDIATRICA NIÑO JESUS S.A.S,Evento,900164946.0,111953281,
CCF033,COMFASUCRE,CLINICA SALUD SOCIAL S.A.S,Evento,823002991.0,89342745,
CCF033,COMFASUCRE,CLINICA SANTA ANA DE DIOS S.A.S.,Evento,900839869.0,396354596,
CCF033,COMFASUCRE,CLINICA SANTA ISABEL SAS,Evento,823002778.0,20384963,
CCF033,COMFASUCRE,CLINICA SANTA MARIA SAS,Evento,800183943.0,435312542,
CCF033,COMFASUCRE,CLINIVIDA Y SALUD IPS SAS,Evento,901336751.0,334627333,
CCF033,COMFASUCRE,DAVITA S.A.S.,Evento,900532504.0,121394423,
CCF033,COMFASUCRE,DELTA SALUD S.A.S,Evento,900957660.0,39343099,
CCF033,COMFASUCRE,DIAGNOSTISALUD S.A.S,Evento,900943534.0,15881419,
CCF033,COMFASUCRE,E.S.E HOSPITAL SAN RAFAEL DE FACATATIVÁ,Evento,899999151.0,56217679,
CCF033,COMFASUCRE,E.S.E. HOSPITAL LA MARIA,Evento,890905177.0,6609866,
CCF033,COMFASUCRE,E.S.E. HOSPITAL PEDRO NEL CARDONA,Evento,890982134.0,1396350,
CCF033,COMFASUCRE,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,Evento,890985603.0,5974810,
CCF033,COMFASUCRE,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,Evento,800227877.0,3805647,
CCF033,COMFASUCRE,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,Evento,890981268.0,5109625,
CCF033,COMFASUCRE,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA DIVINA MISERICORDIA,Evento,900196347.0,78563714,
CCF033,COMFASUCRE,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DE LOS REMEDIOS,Evento,892115009.0,4990070,
CCF033,COMFASUCRE,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA,Evento,899999032.0,35395276,
CCF033,COMFASUCRE,EMPRESA SOCIAL DEL ESTADO REGION DE SALUD SOACHA,Evento,800006850.0,18996677,
CCF033,COMFASUCRE,ESCANOGRAFIA SINCELEJO SAS,Evento,800229958.0,32059963,
CCF033,COMFASUCRE,ESE HOSPITAL DEPARTAMENTAL UNIVERSITARIO SANTA SOFIA DE CALDAS,Evento,890801099.0,2655375,
CCF033,COMFASUCRE,ESE HOSPITAL LOCAL CARTAGENA DE INDIAS,Evento,806010305.0,1960496,
CCF033,COMFASUCRE,ESE HOSPITAL REGIONNAL II NIVEL DE SAN MARCOS,Evento,800191643.0,185535302,
CCF033,COMFASUCRE,ESE HOSPITAL SAN JERÓNIMO DE MONTERÍA,Evento,891079999.0,27344147,
CCF033,COMFASUCRE,ESE HOSPITAL SAN JOSE DE MAICAO,Evento,892120115.0,123610043,
CCF033,COMFASUCRE,FUNDACION AZUL REY,Evento,901161920.0,63396797,
CCF033,COMFASUCRE,FUNDACION CENTRO COLOMBIANO DE EPILEPSIA Y ENFERMEDADES NEUROLOGICAS,Evento,900269029.0,17932381,
CCF033,COMFASUCRE,FUNDACION ESTILO DE VIDA SALUDABLE ESVIDA IPS,Evento,819004229.0,20781238,
CCF033,COMFASUCRE,FUNDACION HOSPITAL DE LA MISERICORDIA,Evento,899999123.0,1833264,
CCF033,COMFASUCRE,FUNDACION OFTALMOLOGICA DEL CARIBE,Evento,800112725.0,17916855,
CCF033,COMFASUCRE,FUNDACION TRAZANDO CAMINOS,Evento,900966539.0,104724761,
CCF033,COMFASUCRE,GASTROCENTRO S.A.S,Evento,900581036.0,26123961,
CCF033,COMFASUCRE,GESTAR SALUD DE COLOMBIA IPS SAS,Evento,900842629.0,25815702,
CCF033,COMFASUCRE,GESTION SALUD S.A.S.,Evento,806015201.0,5613565,
CCF033,COMFASUCRE,GHG GLOBAL HEALTH GROUP SAS,Evento,901483168.0,1196805881,
CCF033,COMFASUCRE,HOSDISALUD HDS S.A.S,Evento,901022654.0,8675072,
CCF033,COMFASUCRE,HOSPITAL CARDIOVASCULAR DE CUNDINAMARCA S.A,Evento,830104627.0,51037327,
CCF033,COMFASUCRE,HOSPITAL REGIONAL NUESTRA SEÑORA DE LAS MERCEDES DE COROZAL E.S.E.,Evento,890480113.0,105844498,
CCF033,COMFASUCRE,HOSPITAL ROSARIO PUMAREJO DE LOPEZ - EMPRESA SOCIAL DEL ESTADO,Evento,892399994.0,422594879,
CCF033,COMFASUCRE,"HOSPITAL SUSANA LOPEZ DE VALENCIA, EMPRESA SOCIAL DEL ESTADO",Evento,891501676.0,1216366,
CCF033,COMFASUCRE,HOSPITAL UNIVERSITARIO DE SINCELEJO E.S.E,Evento,892280033.0,372321784,
CCF033,COMFASUCRE,INSTITUTO DE CANCEROLOGIA DE SUCRE S.A.S.,Evento,823002227.0,152333093,
CCF033,COMFASUCRE,INSTITUTO DE SISTEMA NERVIOSO DE CORDOBA,Evento,901129333.0,57592734,
CCF033,COMFASUCRE,INSTITUTO MEDICO DE ALTA TECNOLOGÍA S.A.S,Evento,901085352.0,256731335,
CCF033,COMFASUCRE,IPS CARDIOCENTRO PEDIATRICO DE SUCRE S.A.S,Evento,900550249.0,19378917,
CCF033,COMFASUCRE,IPS IMAGEN DIAGNOSTICA S.A.S,Evento,900188717.0,57900098,
CCF033,COMFASUCRE,IPS INDIGENA KOTTUSHI SAO ANA>A,Evento,900794134.0,492929764,
CCF033,COMFASUCRE,IPS LA DIVINA MISERICORDIA S.A.S,Evento,900919030.0,329011470,
CCF033,COMFASUCRE,IPS PUNTO VITAL SAS,Evento,900656493.0,711452097,
CCF033,COMFASUCRE,IPS TOLUSALUD LTDA,Evento,900119472.0,23512711,
CCF033,COMFASUCRE,IPS VITAL SALUD GUAJIRA S.A.S,Evento,901226064.0,120549863,
CCF033,COMFASUCRE,IPSI EITERRA JAWAPIA,Evento,900795851.0,35292851,
CCF033,COMFASUCRE,LCH REHABILITACION S.A.S,Evento,900602326.0,3155130,
CCF033,COMFASUCRE,MEDI VIDA IPS S.A.S,Evento,901314216.0,53617987,
CCF033,COMFASUCRE,MEDICENTER ESPECIALIZADO LTDA,Evento,900138649.0,4992325,
CCF033,COMFASUCRE,MEDICINA INTEGRAL DEL CARIBE SAS,Evento,900449481.0,8022761,
CCF033,COMFASUCRE,MEDIPOHDS,Evento,900995574.0,257481478,
CCF033,COMFASUCRE,MIRED BARRANQUILLA IPS S.A.S.,Evento,901139193.0,30399474,
CCF033,COMFASUCRE,NEFROUROS MOM SAS,Evento,900123612.0,15095000,
CCF033,COMFASUCRE,NEUMOCESAR S.A.S,Evento,901153838.0,1350060,
CCF033,COMFASUCRE,ODONTS CENTER LTDA,Evento,900579595.0,16447697,
CCF033,COMFASUCRE,OFTALMOLOGOS ASOCIADOS DE LA COSTA SAS,Evento,823002800.0,288110597,
CCF033,COMFASUCRE,OHI ORGANIZACIÓN HUMANA INTEGRAL S.A.,Evento,900008328.0,1425050,
