COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,"TOTAL GIRO 
FEBRERO 2023",OBSERVACIÓN
CCF033,EPS FAMILIAR DE COLOMBIA,800183943.0,CLINICA SANTA MARIA SAS,361426537.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800191643.0,ESE HOSPITAL REGIONNAL II NIVEL DE SAN MARCOS,101982589.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800204153.0,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE LORICA,10612483.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800229958.0,ESCANOGRAFIA SINCELEJO SAS,60459614.0,
CCF033,EPS FAMILIAR DE COLOMBIA,802020334.0,QUIMIOSALUD S.A.S,1282500.0,
CCF033,EPS FAMILIAR DE COLOMBIA,805011262.0,RTS S.A.S,317604687.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812002958.0,CLINICA LA TRINIDAD I.P.S. LTDA,4739019.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812004935.0,CLINICA MATERNO INFANTIL CASA DEL NIÑO S.A.S,7774915.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812005522.0,FUNDACION AMIGOS DE LA SALUD,136300415.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812005726.0,EMPRESA SOCIAL DEL ESTADO VIDASINU,60821135.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812007194.0,ONCOMEDICA S.A.S,252364364.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823002227.0,INSTITUTO DE CANCEROLOGIA DE SUCRE S.A.S.,177006906.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823002800.0,OFTALMOLOGOS ASOCIADOS DE LA COSTA SAS,298481404.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823002991.0,CLINICA SALUD SOCIAL S.A.S,57374341.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823003752.0,I.P.S. UNIDAD MEDICA EL BOSQUE S.A.S.,15722497.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823004881.0,I.P.S. CLINICA GUARANDA SANA S.A.S.,25603762.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823004895.0,UNIDAD MEDICA INTEGRAL DEL SAN JORGE LIMITADA,1332465.0,
CCF033,EPS FAMILIAR DE COLOMBIA,830010337.0,SANOFI-AVENTIS DE COLOMBIA S.A.,48417852.0,
CCF033,EPS FAMILIAR DE COLOMBIA,830510991.0,CLÍNICA ESPECIALIZADA LA CONCEPCIÓN S.A.S,327884730.0,
CCF033,EPS FAMILIAR DE COLOMBIA,830511549.0,RESONANCIA E IMÁGENES SANTA MARIA S.A,33350583.0,
CCF033,EPS FAMILIAR DE COLOMBIA,890480113.0,HOSPITAL REGIONAL NUESTRA SEÑORA DE LAS MERCEDES DE COROZAL E.S.E.,133622100.0,
CCF033,EPS FAMILIAR DE COLOMBIA,891079999.0,ESE HOSPITAL SAN JERÓNIMO DE MONTERÍA,40914945.0,
CCF033,EPS FAMILIAR DE COLOMBIA,892200273.0,CLINICA LAS PEÑITAS S.A.S,6801464.0,
CCF033,EPS FAMILIAR DE COLOMBIA,892201100.0,LIGA CONTRA EL CÁNCER SECCIONAL SUCRE,44536540.0,
CCF033,EPS FAMILIAR DE COLOMBIA,892280033.0,HOSPITAL UNIVERSITARIO DE SINCELEJO E.S.E,489386500.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900015779.0,SOCIEDAD DE HEMODINAMIA SANTA MARIA S.A.S,170512431.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900025914.0,AMRITZAR S.A.,25382005.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900047571.0,IPSI OUTAJIAPALA,52920000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900116275.0,UNIDAD DE DIAGNOSTICO CLINICO O IMAGENOLOGICO E.U.,13205471.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900118990.0,CENTRO DE FISIOTERAPIA REHABILITAR DRA. MARTA CANTILLO MARTINEZ S.A.S.,110250000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900119472.0,IPS TOLUSALUD LTDA,55964832.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900164946.0,CLINICA PEDIATRICA NIÑO JESUS S.A.S,74778276.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900172745.0,UNIDAD DE DIAGNOSTICO GINECOLOGICO Y PRENATAL SER MUJER S.A.S,2855348.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900177624.0,ANASHIWAYA IPSI,40115113.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900188717.0,IPS IMAGEN DIAGNOSTICA S.A.S,38977871.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900196346.0,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN,1793051.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900196347.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA DIVINA MISERICORDIA,223364171.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900217343.0,CLINICA OFTALMOLOGICA DE SUCRE S.A.S,52038876.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900219120.0,VIVA 1A IPS SA,386320000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900233294.0,CLINICA GENERAL DEL CARIBE S.A.,6719155.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900324225.0,"SOCIEDAD PARA LA ATENCION MEDICA E IMAGENES DIAGNOSTICAS SAS ""SOMID SAS """,65186530.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900328332.0,CARDIOCARE SERVICES SAS,67440859.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900449481.0,MEDICINA INTEGRAL DEL CARIBE SAS,14671302.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900468210.0,CENTRO DE RESONANCIA MAGNETICA DEL NORTE S.A.S,10200055.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900508066.0,CMIACIPSGUAJIRA SAS,5525000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900513306.0,FUNDACION MARIA REINA,25942498.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900550249.0,IPS CARDIOCENTRO PEDIATRICO DE SUCRE S.A.S,31897242.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900581036.0,GASTROCENTRO S.A.S,16125842.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900656493.0,IPS PUNTO VITAL SAS,762157466.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900734605.0,CENTRO DE REHABILITACION TERAPEUTICO INTEGRAL S.A.S.,23231500.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900794134.0,IPS INDIGENA KOTTUSHI SAO ANA>A,595350000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900795851.0,IPSI EITERRA JAWAPIA,299880000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900798865.0,911 ASITENCIA MEDICA DOMICILIARIA IPS SAS,30915915.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900803163.0,AMBULANCIAS AB IPS S.A.S,1826769.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900839714.0,PROFHARMA SALUD IPS S.A.S,50933573.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900874167.0,OPTIMUS HEALTH SAS,8301705.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900919030.0,IPS LA DIVINA MISERICORDIA S.A.S,148816098.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900959051.0,SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E,11146787.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900995574.0,MEDIPOHDS,313945879.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901085352.0,INSTITUTO MEDICO DE ALTA TECNOLOGÍA S.A.S,61843427.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901094037.0,TRAUMACENTRO S.A.S,3405855.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901139193.0,MIRED BARRANQUILLA IPS S.A.S.,2476710.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901161920.0,FUNDACION AZUL REY,65400000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901182802.0,SERVICIOS MEDICOS INTEGRALES IPS S.A.S,640120000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901204233.0,ROSARY HEALTH CARE SAS,11642300.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901314216.0,MEDI VIDA IPS S.A.S,301952501.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901341454.0,INTTEGRAL I.P.S S.A.S,80610000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901353186.0,UCI LAS MERCEDES DE COROZAL SAS,48971965.0,
CCF033,EPS FAMILIAR DE COLOMBIA,901483168.0,GHG GLOBAL HEALTH GROUP SAS,248975340.0,
