COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,"TOTAL GIRO 
JULIO 2023",OBSERVACIÓN
CCF033,EPS FAMILIAR DE COLOMBIA,800112725.0,FUNDACION OFTALMOLOGICA DEL CARIBE,2972217,
CCF033,EPS FAMILIAR DE COLOMBIA,800183943.0,CLINICA SANTA MARIA SAS,9050467,
CCF033,EPS FAMILIAR DE COLOMBIA,800191643.0,ESE HOSPITAL REGIONNAL II NIVEL DE SAN MARCOS,81038424,
CCF033,EPS FAMILIAR DE COLOMBIA,800193989.0,CENTRO DIAGNOSTICO DE ESPECIALISTAS LTDA,237679712,
CCF033,EPS FAMILIAR DE COLOMBIA,800194798.0,ORGANIZACION CLINICA BONNADONA PREVENIR S.A.S.,28887224,
CCF033,EPS FAMILIAR DE COLOMBIA,800204153.0,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE LORICA,4148803,
CCF033,EPS FAMILIAR DE COLOMBIA,800229958.0,ESCANOGRAFIA SINCELEJO SAS,7337646,
CCF033,EPS FAMILIAR DE COLOMBIA,805011262.0,RTS S.A.S,105238954,
CCF033,EPS FAMILIAR DE COLOMBIA,806016225.0,CENTRO MEDICO BUENOS AIRES SAS,2197043,
CCF033,EPS FAMILIAR DE COLOMBIA,811016192.0,HOSPITAL ALMA MÁTER DE ANTIOQUIA,1191946,
CCF033,EPS FAMILIAR DE COLOMBIA,812004935.0,CLINICA MATERNO INFANTIL CASA DEL NIÑO S.A.S,2443030,
CCF033,EPS FAMILIAR DE COLOMBIA,812005726.0,EMPRESA SOCIAL DEL ESTADO VIDASINU,3711790,
CCF033,EPS FAMILIAR DE COLOMBIA,812007194.0,ONCOMEDICA S.A.S,134967510,
CCF033,EPS FAMILIAR DE COLOMBIA,813005265.0,E.S.E. CARMEN EMILIA OSPINA DE NEIVA,1864026,
CCF033,EPS FAMILIAR DE COLOMBIA,823000878.0,ESE CENTRO DE SALUD CARTAGENA DE INDIAS COROZAL,1408793,
CCF033,EPS FAMILIAR DE COLOMBIA,823001035.0,ESE CENTRO DE SALUD SAN JOSE I NIVEL SAN MARCOS,1165670,
CCF033,EPS FAMILIAR DE COLOMBIA,823002227.0,INSTITUTO DE CANCEROLOGIA DE SUCRE S.A.S.,219599211,
CCF033,EPS FAMILIAR DE COLOMBIA,823002778.0,CLINICA SANTA ISABEL SAS,21253477,
CCF033,EPS FAMILIAR DE COLOMBIA,823002800.0,OFTALMOLOGOS ASOCIADOS DE LA COSTA SAS,430136204,
CCF033,EPS FAMILIAR DE COLOMBIA,823002991.0,CLINICA SALUD SOCIAL S.A.S,1688605,
CCF033,EPS FAMILIAR DE COLOMBIA,823003752.0,I.P.S. UNIDAD MEDICA EL BOSQUE S.A.S.,7454427,
CCF033,EPS FAMILIAR DE COLOMBIA,823003836.0,IPS SALUD A TU LADO SAS,6228190,
CCF033,EPS FAMILIAR DE COLOMBIA,823004881.0,I.P.S. CLINICA GUARANDA SANA S.A.S.,23498476,
CCF033,EPS FAMILIAR DE COLOMBIA,823004895.0,UNIDAD MEDICA INTEGRAL DEL SAN JORGE LIMITADA,1039489,
CCF033,EPS FAMILIAR DE COLOMBIA,825001800.0,CLINICA SOMEDA S.A.S,2710371,
CCF033,EPS FAMILIAR DE COLOMBIA,825003080.0,UNIDAD DE CUIDADOS INTENSIVOS RENACER LIMITADA,373798657,
CCF033,EPS FAMILIAR DE COLOMBIA,825003685.0,URMEDICAS VIP S.A.S,2851900,
CCF033,EPS FAMILIAR DE COLOMBIA,830104627.0,HOSPITAL CARDIOVASCULAR DE CUNDINAMARCA S.A,16586914,
CCF033,EPS FAMILIAR DE COLOMBIA,830504734.0,VISION TOTAL S.A.S,1143504,
CCF033,EPS FAMILIAR DE COLOMBIA,830510991.0,CLÍNICA ESPECIALIZADA LA CONCEPCIÓN S.A.S,567028715,
CCF033,EPS FAMILIAR DE COLOMBIA,830511549.0,RESONANCIA E IMÁGENES SANTA MARIA S.A,14075747,
CCF033,EPS FAMILIAR DE COLOMBIA,839000356.0,SOCIEDAD MEDICA CLINICA MAICAO S.A,1170600,
CCF033,EPS FAMILIAR DE COLOMBIA,890202024.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE FLORIDABLANCA,1633621,
CCF033,EPS FAMILIAR DE COLOMBIA,890480113.0,HOSPITAL REGIONAL NUESTRA SEÑORA DE LAS MERCEDES DE COROZAL E.S.E.,85699791,
CCF033,EPS FAMILIAR DE COLOMBIA,890900518.0,FUNDACION HOSPITALARIA SAN VICENTE DE PAUL,15290931,
CCF033,EPS FAMILIAR DE COLOMBIA,890901826.0,HOSPITAL PABLO TOBON URIBE,31355441,
CCF033,EPS FAMILIAR DE COLOMBIA,890904646.0,"HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO",8918896,
CCF033,EPS FAMILIAR DE COLOMBIA,890981536.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL DE YOLOMBO,6313664,
CCF033,EPS FAMILIAR DE COLOMBIA,890982134.0,E.S.E. HOSPITAL PEDRO NEL CARDONA,2423146,
CCF033,EPS FAMILIAR DE COLOMBIA,891079999.0,ESE HOSPITAL SAN JERÓNIMO DE MONTERÍA,14719263,
CCF033,EPS FAMILIAR DE COLOMBIA,891200528.0,E.S.E. HOSPITAL UNIVERSITARIO DEPARTAMENTAL DE NARIÑO,1540208,
CCF033,EPS FAMILIAR DE COLOMBIA,892120115.0,ESE HOSPITAL SAN JOSE DE MAICAO,65232892,
CCF033,EPS FAMILIAR DE COLOMBIA,892200273.0,CLINICA LAS PEÑITAS S.A.S,3667487,
CCF033,EPS FAMILIAR DE COLOMBIA,892201100.0,LIGA CONTRA EL CÁNCER SECCIONAL SUCRE,5081824,
CCF033,EPS FAMILIAR DE COLOMBIA,892280033.0,HOSPITAL UNIVERSITARIO DE SINCELEJO E.S.E,505562852,
CCF033,EPS FAMILIAR DE COLOMBIA,892399994.0,HOSPITAL ROSARIO PUMAREJO DE LOPEZ - EMPRESA SOCIAL DEL ESTADO,14810808,
CCF033,EPS FAMILIAR DE COLOMBIA,900015779.0,SOCIEDAD DE HEMODINAMIA SANTA MARIA S.A.S,28430031,
CCF033,EPS FAMILIAR DE COLOMBIA,900038926.0,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,3935471,
CCF033,EPS FAMILIAR DE COLOMBIA,900118990.0,CENTRO DE FISIOTERAPIA REHABILITAR DRA. MARTA CANTILLO MARTINEZ S.A.S.,121749248,
CCF033,EPS FAMILIAR DE COLOMBIA,900119472.0,IPS TOLUSALUD LTDA,26921202,
CCF033,EPS FAMILIAR DE COLOMBIA,900164946.0,CLINICA PEDIATRICA NIÑO JESUS S.A.S,69301566,
CCF033,EPS FAMILIAR DE COLOMBIA,900169684.0,EMPRESA SOCIAL DEL ESTADO SAN JUAN DE BETULIA,16883745,
CCF033,EPS FAMILIAR DE COLOMBIA,900172745.0,UNIDAD DE DIAGNOSTICO GINECOLOGICO Y PRENATAL SER MUJER S.A.S,1554881,
CCF033,EPS FAMILIAR DE COLOMBIA,900177624.0,ANASHIWAYA IPSI,61604168,
CCF033,EPS FAMILIAR DE COLOMBIA,900188717.0,IPS IMAGEN DIAGNOSTICA S.A.S,70667827,
CCF033,EPS FAMILIAR DE COLOMBIA,900196347.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA DIVINA MISERICORDIA,48784047,
CCF033,EPS FAMILIAR DE COLOMBIA,900217343.0,CLINICA OFTALMOLOGICA DE SUCRE S.A.S,20257768,
CCF033,EPS FAMILIAR DE COLOMBIA,900233294.0,CLINICA GENERAL DEL CARIBE S.A.,22367357,
CCF033,EPS FAMILIAR DE COLOMBIA,900269029.0,FUNDACION CENTRO COLOMBIANO DE EPILEPSIA Y ENFERMEDADES NEUROLOGICAS,2014299,
CCF033,EPS FAMILIAR DE COLOMBIA,900272582.0,CLINICA SAN JUAN BAUTISTA S.A.S.,3911720,
CCF033,EPS FAMILIAR DE COLOMBIA,900343468.0,VIA MEDICA SAS,5593028,
CCF033,EPS FAMILIAR DE COLOMBIA,900386591.0,GYO MEDICAL I.P.S. S.A.S.,46521271,
CCF033,EPS FAMILIAR DE COLOMBIA,900418184.0,DIGITALDENT SERVICIOS SAS,10672957,
CCF033,EPS FAMILIAR DE COLOMBIA,900446776.0,ASISDE IPS SAS,4388000,
CCF033,EPS FAMILIAR DE COLOMBIA,900449481.0,MEDICINA INTEGRAL DEL CARIBE SAS,9987772,
CCF033,EPS FAMILIAR DE COLOMBIA,900468210.0,CENTRO DE RESONANCIA MAGNETICA DEL NORTE S.A.S,7836450,
CCF033,EPS FAMILIAR DE COLOMBIA,900492815.0,UNIDAD MATERNO INFANTIL TALAPUIN S.A.S.,20030035,
CCF033,EPS FAMILIAR DE COLOMBIA,900508066.0,CMIACIPSGUAJIRA SAS,59078547,
CCF033,EPS FAMILIAR DE COLOMBIA,900513306.0,FUNDACION MARIA REINA,4017083,
