COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,"TOTAL GIRO 
JUNIO 2023",OBSERVACIÓN
CCF033,EPS FAMILIAR DE COLOMBIA,800014918.0,E.S.E. HOSPITAL UNIVERSITARIO ERASMO MEOZ,4151719.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800112725.0,FUNDACION OFTALMOLOGICA DEL CARIBE,4452252.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800183943.0,CLINICA SANTA MARIA SAS,142239578.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800191643.0,ESE HOSPITAL REGIONNAL II NIVEL DE SAN MARCOS,71628683.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800193989.0,CENTRO DIAGNOSTICO DE ESPECIALISTAS LTDA,41451431.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800194798.0,ORGANIZACION CLINICA BONNADONA PREVENIR S.A.S.,156772383.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800204153.0,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE LORICA,125559357.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800229958.0,ESCANOGRAFIA SINCELEJO SAS,19193975.0,
CCF033,EPS FAMILIAR DE COLOMBIA,802020334.0,QUIMIOSALUD S.A.S,6802900.0,
CCF033,EPS FAMILIAR DE COLOMBIA,805011262.0,RTS S.A.S,122415412.0,
CCF033,EPS FAMILIAR DE COLOMBIA,806004548.0,CENTROMEDICO CRECER LTDA,3911468.0,
CCF033,EPS FAMILIAR DE COLOMBIA,806007343.0,ESE HOSPITAL SAN NICOLAS DE TOLENTINO,1785286.0,
CCF033,EPS FAMILIAR DE COLOMBIA,806010305.0,ESE HOSPITAL LOCAL CARTAGENA DE INDIAS,2567345.0,
CCF033,EPS FAMILIAR DE COLOMBIA,811016192.0,HOSPITAL ALMA MÁTER DE ANTIOQUIA,18307981.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812000527.0,CLINICA SAHAGUN I.P.S. S.A,1102522.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812002958.0,CLINICA LA TRINIDAD I.P.S. LTDA,17692241.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812003851.0,ESE HOSPITAL SAN JUAN DE SAHAGUN,5817561.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812004935.0,CLINICA MATERNO INFANTIL CASA DEL NIÑO S.A.S,3924976.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812005130.0,ESPECIALISTAS ASOCIADOS S.A.,6928522.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812005522.0,FUNDACION AMIGOS DE LA SALUD,89557051.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812005726.0,EMPRESA SOCIAL DEL ESTADO VIDASINU,41015405.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812007194.0,ONCOMEDICA S.A.S,176144108.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823000878.0,ESE CENTRO DE SALUD CARTAGENA DE INDIAS COROZAL,5859969.0,
