COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,"TOTAL GIRO ($)
MARZO 2023",OBSERVACIÓN
CCF033,EPS FAMILIAR DE COLOMBIA,800058016.0,EMPRESA SOCIAL DEL ESTADO METROSALUD,1723800,
CCF033,EPS FAMILIAR DE COLOMBIA,800183943.0,CLINICA SANTA MARIA SAS,125472758,
CCF033,EPS FAMILIAR DE COLOMBIA,800191643.0,ESE HOSPITAL REGIONNAL II NIVEL DE SAN MARCOS,78770295,
CCF033,EPS FAMILIAR DE COLOMBIA,800194798.0,ORGANIZACION CLINICA BONNADONA PREVENIR S.A.S.,5973481,
CCF033,EPS FAMILIAR DE COLOMBIA,800204153.0,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE LORICA,3245826,
CCF033,EPS FAMILIAR DE COLOMBIA,800229958.0,ESCANOGRAFIA SINCELEJO SAS,32185158,
CCF033,EPS FAMILIAR DE COLOMBIA,802014132.0,INSTITUTO DE TRASPLANTE DE MÉDULA OSEA DE LA COSTA IPS S.A.S,6207243,
CCF033,EPS FAMILIAR DE COLOMBIA,802020334.0,QUIMIOSALUD S.A.S,10687500,
CCF033,EPS FAMILIAR DE COLOMBIA,805011262.0,RTS S.A.S,105483535,
CCF033,EPS FAMILIAR DE COLOMBIA,806010305.0,ESE HOSPITAL LOCAL CARTAGENA DE INDIAS,3505169,
CCF033,EPS FAMILIAR DE COLOMBIA,806012426.0,CLINICA CARDIOVASCULAR JESUS DE NAZARETH E.U,15548648,
CCF033,EPS FAMILIAR DE COLOMBIA,812002958.0,CLINICA LA TRINIDAD I.P.S. LTDA,3705664,
CCF033,EPS FAMILIAR DE COLOMBIA,812005726.0,EMPRESA SOCIAL DEL ESTADO VIDASINU,56017095,
CCF033,EPS FAMILIAR DE COLOMBIA,812007194.0,ONCOMEDICA S.A.S,336920585,
CCF033,EPS FAMILIAR DE COLOMBIA,823000878.0,ESE CENTRO DE SALUD CARTAGENA DE INDIAS COROZAL,1893610,
CCF033,EPS FAMILIAR DE COLOMBIA,823002227.0,INSTITUTO DE CANCEROLOGIA DE SUCRE S.A.S.,148922187,
CCF033,EPS FAMILIAR DE COLOMBIA,823002778.0,CLINICA SANTA ISABEL SAS,14738295,
CCF033,EPS FAMILIAR DE COLOMBIA,823002800.0,OFTALMOLOGOS ASOCIADOS DE LA COSTA SAS,105671990,
CCF033,EPS FAMILIAR DE COLOMBIA,823002991.0,CLINICA SALUD SOCIAL S.A.S,10359154,
CCF033,EPS FAMILIAR DE COLOMBIA,823004881.0,I.P.S. CLINICA GUARANDA SANA S.A.S.,7564995,
CCF033,EPS FAMILIAR DE COLOMBIA,824001041.0,CLINICA MEDICOS S.A.,13167251,
CCF033,EPS FAMILIAR DE COLOMBIA,825003080.0,UNIDAD DE CUIDADOS INTENSIVOS RENACER LIMITADA,46204145,
CCF033,EPS FAMILIAR DE COLOMBIA,825003685.0,URMEDICAS VIP S.A.S,12039611,
CCF033,EPS FAMILIAR DE COLOMBIA,830010337.0,SANOFI-AVENTIS DE COLOMBIA S.A.,48417852,
CCF033,EPS FAMILIAR DE COLOMBIA,830120157.0,COLOMBIANA DE TRASPLANTES SAS,10800000,
CCF033,EPS FAMILIAR DE COLOMBIA,830510991.0,CLÍNICA ESPECIALIZADA LA CONCEPCIÓN S.A.S,424360019,
CCF033,EPS FAMILIAR DE COLOMBIA,830511549.0,RESONANCIA E IMÁGENES SANTA MARIA S.A,32842913,
CCF033,EPS FAMILIAR DE COLOMBIA,890480113.0,HOSPITAL REGIONAL NUESTRA SEÑORA DE LAS MERCEDES DE COROZAL E.S.E.,64918909,
CCF033,EPS FAMILIAR DE COLOMBIA,890901826.0,HOSPITAL PABLO TOBON URIBE,118627845,
CCF033,EPS FAMILIAR DE COLOMBIA,891079999.0,ESE HOSPITAL SAN JERÓNIMO DE MONTERÍA,37532295,
