COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,TOTAL GIRO MAYO 2023,OBSERVACIÓN
CCF033,EPS FAMILIAR DE COLOMBIA,800000118.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL DEPARTAMENTAL UNIVERSITARIO DEL QUINDIO SAN JUAN DE DIOS,3058011.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800058016.0,EMPRESA SOCIAL DEL ESTADO METROSALUD,1641475.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800112725.0,FUNDACION OFTALMOLOGICA DEL CARIBE,3495692.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800129856.0,CLINICA DE LA COSTA S.A.S.,3057187.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800183943.0,CLINICA SANTA MARIA SAS,13972257.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800191643.0,ESE HOSPITAL REGIONNAL II NIVEL DE SAN MARCOS,129790089.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800194798.0,ORGANIZACION CLINICA BONNADONA PREVENIR S.A.S.,88428704.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800229958.0,ESCANOGRAFIA SINCELEJO SAS,33554026.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800231235.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO SAN JORGE,3351322.0,
CCF033,EPS FAMILIAR DE COLOMBIA,802020334.0,QUIMIOSALUD S.A.S,10687500.0,
CCF033,EPS FAMILIAR DE COLOMBIA,805011262.0,RTS S.A.S,140335868.0,
CCF033,EPS FAMILIAR DE COLOMBIA,806010305.0,ESE HOSPITAL LOCAL CARTAGENA DE INDIAS,4523263.0,
CCF033,EPS FAMILIAR DE COLOMBIA,806016225.0,CENTRO MEDICO BUENOS AIRES SAS,1440000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812002958.0,CLINICA LA TRINIDAD I.P.S. LTDA,4258955.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812004935.0,CLINICA MATERNO INFANTIL CASA DEL NIÑO S.A.S,66130776.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812005130.0,ESPECIALISTAS ASOCIADOS S.A.,1059650.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812005522.0,FUNDACION AMIGOS DE LA SALUD,22487487.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812007194.0,ONCOMEDICA S.A.S,181758117.0,
CCF033,EPS FAMILIAR DE COLOMBIA,819004229.0,FUNDACION ESTILO DE VIDA SALUDABLE ESVIDA IPS,8095463.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823000878.0,ESE CENTRO DE SALUD CARTAGENA DE INDIAS COROZAL,2614638.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823002227.0,INSTITUTO DE CANCEROLOGIA DE SUCRE S.A.S.,318838293.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823002778.0,CLINICA SANTA ISABEL SAS,2565848.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823002800.0,OFTALMOLOGOS ASOCIADOS DE LA COSTA SAS,282448486.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823002991.0,CLINICA SALUD SOCIAL S.A.S,17422000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823003752.0,I.P.S. UNIDAD MEDICA EL BOSQUE S.A.S.,1757900.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823004895.0,UNIDAD MEDICA INTEGRAL DEL SAN JORGE LIMITADA,2377849.0,
CCF033,EPS FAMILIAR DE COLOMBIA,825003080.0,UNIDAD DE CUIDADOS INTENSIVOS RENACER LIMITADA,150251755.0,
CCF033,EPS FAMILIAR DE COLOMBIA,825003685.0,URMEDICAS VIP S.A.S,13337411.0,
CCF033,EPS FAMILIAR DE COLOMBIA,830104627.0,HOSPITAL CARDIOVASCULAR DE CUNDINAMARCA S.A,2496863.0,
CCF033,EPS FAMILIAR DE COLOMBIA,830120157.0,COLOMBIANA DE TRASPLANTES SAS,20600000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,830510991.0,CLÍNICA ESPECIALIZADA LA CONCEPCIÓN S.A.S,701552115.0,
CCF033,EPS FAMILIAR DE COLOMBIA,830511549.0,RESONANCIA E IMÁGENES SANTA MARIA S.A,35372196.0,
CCF033,EPS FAMILIAR DE COLOMBIA,839000356.0,SOCIEDAD MEDICA CLINICA MAICAO S.A,20280150.0,
CCF033,EPS FAMILIAR DE COLOMBIA,860009555.0,E.S.E. HOSPITAL SANTA MATILDE DE MADRID,4807313.0,
CCF033,EPS FAMILIAR DE COLOMBIA,890212568.0,FUNDACION CARDIOVASCULAR DE COLOMBIA,4100185.0,
CCF033,EPS FAMILIAR DE COLOMBIA,890480113.0,HOSPITAL REGIONAL NUESTRA SEÑORA DE LAS MERCEDES DE COROZAL E.S.E.,150576049.0,
CCF033,EPS FAMILIAR DE COLOMBIA,890901826.0,HOSPITAL PABLO TOBON URIBE,13435738.0,
CCF033,EPS FAMILIAR DE COLOMBIA,890980757.0,ESE HOSPITAL CESAR URIBE PIEDRAHITA,3271117.0,
CCF033,EPS FAMILIAR DE COLOMBIA,891079999.0,ESE HOSPITAL SAN JERÓNIMO DE MONTERÍA,45981267.0,
CCF033,EPS FAMILIAR DE COLOMBIA,892115009.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DE LOS REMEDIOS,181012414.0,
CCF033,EPS FAMILIAR DE COLOMBIA,892120115.0,ESE HOSPITAL SAN JOSE DE MAICAO,151887345.0,
CCF033,EPS FAMILIAR DE COLOMBIA,892170002.0,ESE HOSPITAL SAN AGUSTIN DE FONSECA,1607829.0,
CCF033,EPS FAMILIAR DE COLOMBIA,892200273.0,CLINICA LAS PEÑITAS S.A.S,19677303.0,
CCF033,EPS FAMILIAR DE COLOMBIA,892201100.0,LIGA CONTRA EL CÁNCER SECCIONAL SUCRE,9490007.0,
CCF033,EPS FAMILIAR DE COLOMBIA,892280033.0,HOSPITAL UNIVERSITARIO DE SINCELEJO E.S.E,882806066.0,
CCF033,EPS FAMILIAR DE COLOMBIA,892399994.0,HOSPITAL ROSARIO PUMAREJO DE LOPEZ - EMPRESA SOCIAL DEL ESTADO,45460137.0,
CCF033,EPS FAMILIAR DE COLOMBIA,899999123.0,FUNDACION HOSPITAL DE LA MISERICORDIA,4639102.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900005955.0,CLÍNICA LA ESPERANZA DE MONTERÍA S.A.S.,5895208.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900006221.0,AMBULANCIAS AEREAS DE COLOMBIA S.A.S.,8400000.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900008328.0,CLINICA INTEGRAL DE EMERGENCIAS LAURA DANIELA S.A.,4327905.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900118990.0,CENTRO DE FISIOTERAPIA REHABILITAR DRA. MARTA CANTILLO MARTINEZ S.A.S.,130254290.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900119472.0,IPS TOLUSALUD LTDA,44910603.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900164946.0,CLINICA PEDIATRICA NIÑO JESUS S.A.S,82894936.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900172745.0,UNIDAD DE DIAGNOSTICO GINECOLOGICO Y PRENATAL SER MUJER S.A.S,8767956.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900177624.0,ANASHIWAYA IPSI,79738783.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900188717.0,IPS IMAGEN DIAGNOSTICA S.A.S,29756299.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900196346.0,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN,1644169.0,
CCF033,EPS FAMILIAR DE COLOMBIA,900196347.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA DIVINA MISERICORDIA,79467841.0,
