COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,FORMA DE CONTRATACIÓN,"TOTAL GIRO 
OCTUBRE 2023",OBSERVACIÓN
CCF033,EPS FAMILIAR DE COLOMBIA,800014918,E.S.E. HOSPITAL UNIVERSITARIO ERASMO MEOZ,Evento,11760180.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800038024,UNIDAD CLINICA LA MAGDALENA SAS,Evento,24051315.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800058016,EMPRESA SOCIAL DEL ESTADO METROSALUD,Evento,6942850.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800061765,ESE HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,Evento,23545755.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800084206,EMPRESA SOCIAL DEL ESTADO INSTITUTO DE SALUD DE BUCARAMANGA,Evento,2278807.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800101022,ESE HOSPITAL NUESTRA SEÑORA DEL PILAR,Evento,1889154.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800112725,FUNDACION OFTALMOLOGICA DEL CARIBE,Evento,5307478.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800138311,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,Evento,5092562.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800174995,EMPRESA SOCIAL DEL ESTADO BELLO SALUD,Evento,2918555.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800183943,CLINICA SANTA MARIA SAS,Evento,158539562.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800191643,ESE HOSPITAL REGIONNAL II NIVEL DE SAN MARCOS,Evento,126717194.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800193989,CENTRO DIAGNOSTICO DE ESPECIALISTAS LTDA,Evento,127216449.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800194798,ORGANIZACION CLINICA BONNADONA PREVENIR S.A.S.,Evento,60449954.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800204153,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE LORICA,Evento,8549628.0,
CCF033,EPS FAMILIAR DE COLOMBIA,800229958,ESCANOGRAFIA SINCELEJO SAS,Evento,12343268.0,
CCF033,EPS FAMILIAR DE COLOMBIA,802014132,INSTITUTO DE TRASPLANTE DE MÉDULA OSEA DE LA COSTA IPS S.A.S,Evento,4317920.0,
CCF033,EPS FAMILIAR DE COLOMBIA,802019573,CLINICA PORVENIR LIMITADA,Evento,10332942.0,
CCF033,EPS FAMILIAR DE COLOMBIA,802020334,QUIMIOSALUD S.A.S,Evento,3102500.0,
CCF033,EPS FAMILIAR DE COLOMBIA,805027743,DUMIAN MÉDICAL S.A.S,Evento,1470403.0,
CCF033,EPS FAMILIAR DE COLOMBIA,806001061,EMPRESA SOCIAL DEL ESTADO CLINICA MATERNIDAD RAFAEL CALVO,Evento,24619562.0,
CCF033,EPS FAMILIAR DE COLOMBIA,806016225,CENTRO MEDICO BUENOS AIRES SAS,Evento,6467870.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812002958,CLINICA LA TRINIDAD I.P.S. LTDA,Evento,7292204.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812003851,ESE HOSPITAL SAN JUAN DE SAHAGUN,Evento,6041669.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812004935,CLINICA MATERNO INFANTIL CASA DEL NIÑO S.A.S,Evento,24901502.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812005726,EMPRESA SOCIAL DEL ESTADO VIDASINU,Evento,4881005.0,
CCF033,EPS FAMILIAR DE COLOMBIA,812007194,ONCOMEDICA S.A.S,Evento,210148891.0,
CCF033,EPS FAMILIAR DE COLOMBIA,819004229,FUNDACION ESTILO DE VIDA SALUDABLE ESVIDA IPS,Evento,141282934.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823000779,ASOCIACION MEDICA HUMANA EMPRESA ASOCIATIVA DE TRABAJO,Evento,1718520.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823000878,ESE CENTRO DE SALUD CARTAGENA DE INDIAS COROZAL,Evento,1638422.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823002149,CENTRO DE SALUD SANTA LUCIA E.S.E.,Evento,2513344.0,
CCF033,EPS FAMILIAR DE COLOMBIA,823002227,INSTITUTO DE CANCEROLOGIA DE SUCRE S.A.S.,Evento,143647511.0,
