COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,"TOTAL GIRO 
SEPTIEMBRE 2023",OBSERVACIÓN
CCF033,EPS FAMILIAR DE COLOMBIA,800058016,EMPRESA SOCIAL DEL ESTADO METROSALUD,2930700,
CCF033,EPS FAMILIAR DE COLOMBIA,800084206,EMPRESA SOCIAL DEL ESTADO INSTITUTO DE SALUD DE BUCARAMANGA,1146562,
CCF033,EPS FAMILIAR DE COLOMBIA,800112725,FUNDACION OFTALMOLOGICA DEL CARIBE,3443773,
CCF033,EPS FAMILIAR DE COLOMBIA,800191643,ESE HOSPITAL REGIONNAL II NIVEL DE SAN MARCOS,146979759,
CCF033,EPS FAMILIAR DE COLOMBIA,800193989,CENTRO DIAGNOSTICO DE ESPECIALISTAS LTDA,139791072,
CCF033,EPS FAMILIAR DE COLOMBIA,800194798,ORGANIZACION CLINICA BONNADONA PREVENIR S.A.S.,25003316,
CCF033,EPS FAMILIAR DE COLOMBIA,800229958,ESCANOGRAFIA SINCELEJO SAS,23910241,
CCF033,EPS FAMILIAR DE COLOMBIA,802020334,QUIMIOSALUD S.A.S,2192500,
CCF033,EPS FAMILIAR DE COLOMBIA,805011262,RTS S.A.S,8282383,
CCF033,EPS FAMILIAR DE COLOMBIA,806001061,EMPRESA SOCIAL DEL ESTADO CLINICA MATERNIDAD RAFAEL CALVO,8768922,
CCF033,EPS FAMILIAR DE COLOMBIA,806010305,ESE HOSPITAL LOCAL CARTAGENA DE INDIAS,2905448,
CCF033,EPS FAMILIAR DE COLOMBIA,812002958,CLINICA LA TRINIDAD I.P.S. LTDA,2809814,
CCF033,EPS FAMILIAR DE COLOMBIA,812003851,ESE HOSPITAL SAN JUAN DE SAHAGUN,1999958,
CCF033,EPS FAMILIAR DE COLOMBIA,812005522,FUNDACION AMIGOS DE LA SALUD,39333454,
CCF033,EPS FAMILIAR DE COLOMBIA,812007194,ONCOMEDICA S.A.S,116160191,
CCF033,EPS FAMILIAR DE COLOMBIA,813001952,CLINICA MEDILASER S.A.S.,2680750,
CCF033,EPS FAMILIAR DE COLOMBIA,823002227,INSTITUTO DE CANCEROLOGIA DE SUCRE S.A.S.,312644301,
CCF033,EPS FAMILIAR DE COLOMBIA,823002778,CLINICA SANTA ISABEL SAS,28851376,
CCF033,EPS FAMILIAR DE COLOMBIA,823002800,OFTALMOLOGOS ASOCIADOS DE LA COSTA SAS,397832698,
CCF033,EPS FAMILIAR DE COLOMBIA,823002991,CLINICA SALUD SOCIAL S.A.S,14254159,
CCF033,EPS FAMILIAR DE COLOMBIA,823003752,I.P.S. UNIDAD MEDICA EL BOSQUE S.A.S.,8085689,
CCF033,EPS FAMILIAR DE COLOMBIA,823004881,I.P.S. CLINICA GUARANDA SANA S.A.S.,89217026,
CCF033,EPS FAMILIAR DE COLOMBIA,825002525,ESE HOSPITAL SAN RAFAEL DE ALBANIA,1829374,
CCF033,EPS FAMILIAR DE COLOMBIA,825003080,UNIDAD DE CUIDADOS INTENSIVOS RENACER LIMITADA,124838661,
CCF033,EPS FAMILIAR DE COLOMBIA,825003378,SAIS IPS SAS IMAGENOLOGIA Y HEMODINAMIA,6287225,
CCF033,EPS FAMILIAR DE COLOMBIA,830104627,HOSPITAL CARDIOVASCULAR DE CUNDINAMARCA S.A,16146390,
CCF033,EPS FAMILIAR DE COLOMBIA,830510991,CLÍNICA ESPECIALIZADA LA CONCEPCIÓN S.A.S,593088910,
CCF033,EPS FAMILIAR DE COLOMBIA,830511549,RESONANCIA E IMÁGENES SANTA MARIA S.A,28823441,
CCF033,EPS FAMILIAR DE COLOMBIA,839000145,ASOCIACION DE CABILDOS Y/O AUTORIDADES TRADICIONALES DE LA GUAJIRA,1025240,
CCF033,EPS FAMILIAR DE COLOMBIA,890212568,FUNDACION CARDIOVASCULAR DE COLOMBIA,21000000,
CCF033,EPS FAMILIAR DE COLOMBIA,890480113,HOSPITAL REGIONAL NUESTRA SEÑORA DE LAS MERCEDES DE COROZAL E.S.E.,105496446,
CCF033,EPS FAMILIAR DE COLOMBIA,890480135,FUNDACION HOSPITAL INFANTIL NAPOLEON FRANCO PAREJA,10830169,
CCF033,EPS FAMILIAR DE COLOMBIA,890706833,E.S.E. HOSPITAL FEDERICO LLERAS ACOSTA,1583976,
CCF033,EPS FAMILIAR DE COLOMBIA,890900518,FUNDACION HOSPITALARIA SAN VICENTE DE PAUL,2336385,
CCF033,EPS FAMILIAR DE COLOMBIA,890901826,HOSPITAL PABLO TOBON URIBE,70845440,
CCF033,EPS FAMILIAR DE COLOMBIA,890904646,"HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO",6565740,
CCF033,EPS FAMILIAR DE COLOMBIA,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,1239330,
CCF033,EPS FAMILIAR DE COLOMBIA,891079999,ESE HOSPITAL SAN JERÓNIMO DE MONTERÍA,103960490,
CCF033,EPS FAMILIAR DE COLOMBIA,892115010,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL NIVEL II,21854042,
CCF033,EPS FAMILIAR DE COLOMBIA,892120115,ESE HOSPITAL SAN JOSE DE MAICAO,250404361,
CCF033,EPS FAMILIAR DE COLOMBIA,892170002,ESE HOSPITAL SAN AGUSTIN DE FONSECA,1405230,
CCF033,EPS FAMILIAR DE COLOMBIA,892200273,CLINICA LAS PEÑITAS S.A.S,10722601,
CCF033,EPS FAMILIAR DE COLOMBIA,892201100,LIGA CONTRA EL CÁNCER SECCIONAL SUCRE,14988288,
CCF033,EPS FAMILIAR DE COLOMBIA,892280033,HOSPITAL UNIVERSITARIO DE SINCELEJO E.S.E,523431310,
CCF033,EPS FAMILIAR DE COLOMBIA,892399994,HOSPITAL ROSARIO PUMAREJO DE LOPEZ - EMPRESA SOCIAL DEL ESTADO,44978186,
CCF033,EPS FAMILIAR DE COLOMBIA,900005955,CLÍNICA LA ESPERANZA DE MONTERÍA S.A.S.,43058304,
CCF033,EPS FAMILIAR DE COLOMBIA,900008328,OHI ORGANIZACIÓN HUMANA INTEGRAL S.A.,2677867,
CCF033,EPS FAMILIAR DE COLOMBIA,900015779,SOCIEDAD DE HEMODINAMIA SANTA MARIA S.A.S,8811401,
CCF033,EPS FAMILIAR DE COLOMBIA,900116275,UNIDAD DE DIAGNOSTICO CLINICO O IMAGENOLOGICO E.U.,4811391,
CCF033,EPS FAMILIAR DE COLOMBIA,900118990,CENTRO DE FISIOTERAPIA REHABILITAR DRA. MARTA CANTILLO MARTINEZ S.A.S.,11948162,
CCF033,EPS FAMILIAR DE COLOMBIA,900124689,FUNDACION SOMA,1964637,
CCF033,EPS FAMILIAR DE COLOMBIA,900138649,MEDICENTER ESPECIALIZADO LTDA,2976865,
CCF033,EPS FAMILIAR DE COLOMBIA,900164946,CLINICA PEDIATRICA NIÑO JESUS S.A.S,81664619,
CCF033,EPS FAMILIAR DE COLOMBIA,900172745,UNIDAD DE DIAGNOSTICO GINECOLOGICO Y PRENATAL SER MUJER S.A.S,3891273,
CCF033,EPS FAMILIAR DE COLOMBIA,900188717,IPS IMAGEN DIAGNOSTICA S.A.S,49812832,
CCF033,EPS FAMILIAR DE COLOMBIA,900196346,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN,1165796,
CCF033,EPS FAMILIAR DE COLOMBIA,900196347,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA DIVINA MISERICORDIA,23465518,
CCF033,EPS FAMILIAR DE COLOMBIA,900223749,FUNDACION UNIDAD DE CUIDADOS INTENSIVOS DOÑA PILAR,3578779,
CCF033,EPS FAMILIAR DE COLOMBIA,900233294,CLINICA GENERAL DEL CARIBE S.A.,18783536,
CCF033,EPS FAMILIAR DE COLOMBIA,900272582,CLINICA SAN JUAN BAUTISTA S.A.S.,6224527,
CCF033,EPS FAMILIAR DE COLOMBIA,900296050,ODONTO TOTAL E.U.,35417727,
CCF033,EPS FAMILIAR DE COLOMBIA,900304958,SOCIEDAD SAN JOSE DE TORICES S.A,1528297,
CCF033,EPS FAMILIAR DE COLOMBIA,900328332,CARDIOCARE SERVICES SAS,18332499,
CCF033,EPS FAMILIAR DE COLOMBIA,900386591,GYO MEDICAL I.P.S. S.A.S.,155643977,
CCF033,EPS FAMILIAR DE COLOMBIA,900468210,CENTRO DE RESONANCIA MAGNETICA DEL NORTE S.A.S,18287400,
CCF033,EPS FAMILIAR DE COLOMBIA,900513306,FUNDACION MARIA REINA,5647800,
CCF033,EPS FAMILIAR DE COLOMBIA,900540156,FUNDACION CLINICA DEL RIO,1097950,
CCF033,EPS FAMILIAR DE COLOMBIA,900550249,IPS CARDIOCENTRO PEDIATRICO DE SUCRE S.A.S,32767447,
CCF033,EPS FAMILIAR DE COLOMBIA,900579595,ODONTS CENTER LTDA,4835910,
CCF033,EPS FAMILIAR DE COLOMBIA,900581036,GASTROCENTRO S.A.S,7922835,
CCF033,EPS FAMILIAR DE COLOMBIA,900601052,UNIDAD PEDIÁTRICA SIMÓN BOLÍVAR IPS SAS,127279374,
CCF033,EPS FAMILIAR DE COLOMBIA,900602320,CLINICA LA MISERICORDIA,5592271,
CCF033,EPS FAMILIAR DE COLOMBIA,900618967,SOLUCIONES INTEGRALES EN SALUD AURUM MEDICAL SAS,29830000,
CCF033,EPS FAMILIAR DE COLOMBIA,900656493,IPS PUNTO VITAL SAS,572501948,
CCF033,EPS FAMILIAR DE COLOMBIA,900691119,ORTOPEDICA EUROPEA S.A.S.,117432851,
CCF033,EPS FAMILIAR DE COLOMBIA,900718559,CLINICA CARDIODAJUD SAS,1586240,
CCF033,EPS FAMILIAR DE COLOMBIA,900728399,CENTRO SALUD DE LA GUAJIRA S.A.S,14788808,
CCF033,EPS FAMILIAR DE COLOMBIA,900734605,CENTRO DE REHABILITACION TERAPEUTICO INTEGRAL S.A.S.,19204652,
CCF033,EPS FAMILIAR DE COLOMBIA,900794134,IPS INDIGENA KOTTUSHI SAO ANA>A,401773912,
CCF033,EPS FAMILIAR DE COLOMBIA,900798865,911 ASITENCIA MEDICA DOMICILIARIA IPS SAS,337429966,
CCF033,EPS FAMILIAR DE COLOMBIA,900839714,PROFHARMA SALUD IPS S.A.S,86874378,
CCF033,EPS FAMILIAR DE COLOMBIA,900839869,CLINICA SANTA ANA DE DIOS S.A.S.,136636248,
CCF033,EPS FAMILIAR DE COLOMBIA,900849578,CLINIMEDIC IPS S.A.S,47131626,
CCF033,EPS FAMILIAR DE COLOMBIA,900862842,CENTRO DE OTORRINOLARINGOLOGIA Y FONOAUDIOLOGIA DE LA SABANA S.A.S,8757659,
CCF033,EPS FAMILIAR DE COLOMBIA,900874167,OPTIMUS HEALTH SAS,4180715,
CCF033,EPS FAMILIAR DE COLOMBIA,900886719,I.P.S MEDICAL MOVIL S.A.S.,21810126,
CCF033,EPS FAMILIAR DE COLOMBIA,900919030,IPS LA DIVINA MISERICORDIA S.A.S,223451922,
CCF033,EPS FAMILIAR DE COLOMBIA,900926475,DAZALUD IPS,1423282,
