DANE,DEPARTAMENTO,MUNICIPIO,COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,TOTAL GIRO ABRIL 2023,OBSERVACIÓN
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,800003765,VIRREY SOLIS IPS SA,1014248614,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,800228773,COOPERATIVA DE TRABAJO ASOCIADO DE PROFESIONALES DE LA SALUD DE DONMATIAS - PROSALCO,60842340,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,890906346,ESE HOSPITAL SAN FERNANDO,7165760,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,800228773,COOPERATIVA DE TRABAJO ASOCIADO DE PROFESIONALES DE LA SALUD DE DONMATIAS - PROSALCO,385701828,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,811007832,SERVICIOS DE SALUD IPS SURAMERICANA S.A.S,2043947180,
05001,ANTIOQUIA,MEDELLIN,EPSS40,SAVIA SALUD,800058016,EMPRESA SOCIAL DEL ESTADO METROSALUD,8957657567,
05001,ANTIOQUIA,MEDELLIN,ESS024,COOSALUD,890905177,E.S.E. HOSPITAL LA MARIA,176385590,
05002,ANTIOQUIA,ABEJORRAL,EPSS37,NUEVA EPS,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,9955666,
05002,ANTIOQUIA,ABEJORRAL,EPSS40,SAVIA SALUD,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,163795444,
05002,ANTIOQUIA,ABEJORRAL,ESS024,COOSALUD,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,68506145,
05004,ANTIOQUIA,ABRIAQUI,EPSS40,SAVIA SALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,25589869,
05021,ANTIOQUIA,ALEJANDRIA,EPSS40,SAVIA SALUD,800029509,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,52898822,
05030,ANTIOQUIA,AMAGA,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,13916784,
05030,ANTIOQUIA,AMAGA,EPSS40,SAVIA SALUD,890906346,ESE HOSPITAL SAN FERNANDO,51688980,
05030,ANTIOQUIA,AMAGA,ESS024,COOSALUD,890906346,ESE HOSPITAL SAN FERNANDO,132078421,
05031,ANTIOQUIA,AMALFI,EPSS37,NUEVA EPS,890982101,E.S.E HOSPITAL EL CARMEN,20030000,
05031,ANTIOQUIA,AMALFI,EPSS40,SAVIA SALUD,890982101,E.S.E HOSPITAL EL CARMEN,90514862,
05031,ANTIOQUIA,AMALFI,ESS024,COOSALUD,890982101,E.S.E HOSPITAL EL CARMEN,275943810,
05034,ANTIOQUIA,ANDES,EPSS37,NUEVA EPS,890980814,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,49744683,
05034,ANTIOQUIA,ANDES,EPSS40,SAVIA SALUD,890980814,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,435573745,
05036,ANTIOQUIA,ANGELOPOLIS,EPSS37,NUEVA EPS,890980959,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,4580000,
05038,ANTIOQUIA,ANGOSTURA,ESS024,COOSALUD,890982183,E.S.E. HOSPITAL SAN RAFAEL DE ANGOSTURA,177756440,
05040,ANTIOQUIA,ANORI,EPSS40,SAVIA SALUD,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,49357670,
05040,ANTIOQUIA,ANORI,ESS024,COOSALUD,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,266324422,
05042,ANTIOQUIA,ANTIOQUIA,EPSS37,NUEVA EPS,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,43056813,
05042,ANTIOQUIA,ANTIOQUIA,EPSS40,SAVIA SALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,125778308,
05042,ANTIOQUIA,ANTIOQUIA,ESS024,COOSALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,228829488,
05044,ANTIOQUIA,ANZA,EPSS40,SAVIA SALUD,890397282,E.S.E. HOSPITAL SAN FRANCISCO DE ASIS,96713055,
05045,ANTIOQUIA,APARTADO,EPSS10,SURAMERICANA,900390423,PROMOTORA CLINICA ZONA FRANCA DE URABA SAS,274244678,
05045,ANTIOQUIA,APARTADO,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,168383470,
