DANE,DEPARTAMENTO,MUNICIPIO,COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,TOTAL GIRO ENERO 2023,OBSERVACIÓN
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,800003765,VIRREY SOLIS IPS SA,961943745,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,800228773,COOPERATIVA DE TRABAJO ASOCIADO DE PROFESIONALES DE LA SALUD DE DONMATIAS - PROSALCO,55973280,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,890906346,ESE HOSPITAL SAN FERNANDO,7351800,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,890939936,SOCIEDAD MEDICA RIONEGRO SA,8520119,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,800051998,CLINICA DE OFTALMOLOGIA SANDIEGO S.A,96049605,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,800228773,COOPERATIVA DE TRABAJO ASOCIADO DE PROFESIONALES DE LA SALUD DE DONMATIAS - PROSALCO,313522039,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,811007832,SERVICIOS DE SALUD IPS SURAMERICANA S.A.S,3408803136,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,890905843,COMUNIDAD DE HERMANAS DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN DE TOURS PROVINCIA DE MEDELLIN,272990484,
05001,ANTIOQUIA,MEDELLIN,EPSS40,SAVIA SALUD,800058016,EMPRESA SOCIAL DEL ESTADO METROSALUD,8959736759,
05001,ANTIOQUIA,MEDELLIN,ESS024,COOSALUD EPS S.A.,890905177,E.S.E. HOSPITAL LA MARIA,154200552,
05002,ANTIOQUIA,ABEJORRAL,EPSS37,LA NUEVA EPS S.A.,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,8716050,
05002,ANTIOQUIA,ABEJORRAL,EPSS40,SAVIA SALUD,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,164612060,
05002,ANTIOQUIA,ABEJORRAL,ESS024,COOSALUD EPS S.A.,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,60395319,
05004,ANTIOQUIA,ABRIAQUI,EPSS40,SAVIA SALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,26108295,
05021,ANTIOQUIA,ALEJANDRIA,EPSS40,SAVIA SALUD,800029509,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,53748037,
05030,ANTIOQUIA,AMAGA,EPSS37,LA NUEVA EPS S.A.,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,13115732,
05030,ANTIOQUIA,AMAGA,EPSS40,SAVIA SALUD,890906346,ESE HOSPITAL SAN FERNANDO,51786935,
05030,ANTIOQUIA,AMAGA,ESS024,COOSALUD EPS S.A.,890906346,ESE HOSPITAL SAN FERNANDO,92096660,
05031,ANTIOQUIA,AMALFI,EPSS40,SAVIA SALUD,890982101,E.S.E HOSPITAL EL CARMEN,90508172,
05031,ANTIOQUIA,AMALFI,ESS024,COOSALUD EPS S.A.,890982101,E.S.E HOSPITAL EL CARMEN,240324480,
05034,ANTIOQUIA,ANDES,EPSS37,LA NUEVA EPS S.A.,890980814,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,40488791,
05034,ANTIOQUIA,ANDES,EPSS40,SAVIA SALUD,890980814,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,438412080,
05036,ANTIOQUIA,ANGELOPOLIS,EPSS37,LA NUEVA EPS S.A.,890980959,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,4240000,
05038,ANTIOQUIA,ANGOSTURA,ESS024,COOSALUD EPS S.A.,890982183,E.S.E. HOSPITAL SAN RAFAEL DE ANGOSTURA,150152109,
05040,ANTIOQUIA,ANORI,EPSS37,LA NUEVA EPS S.A.,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,6151080,
05040,ANTIOQUIA,ANORI,EPSS40,SAVIA SALUD,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,50540361,
05040,ANTIOQUIA,ANORI,ESS024,COOSALUD EPS S.A.,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,232807344,
