DANE,DEPARTAMENTO,MUNICIPIO,COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,TOTAL GIRO MAYO 2023,OBSERVACIÓN
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,800003765,VIRREY SOLIS IPS SA,1319288268,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,800228773,COOPERATIVA DE TRABAJO ASOCIADO DE PROFESIONALES DE LA SALUD DE DONMATIAS - PROSALCO,62874720,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,890906346,ESE HOSPITAL SAN FERNANDO,7022600,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,800228773,COOPERATIVA DE TRABAJO ASOCIADO DE PROFESIONALES DE LA SALUD DE DONMATIAS - PROSALCO,389489479,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,811007832,SERVICIOS DE SALUD IPS SURAMERICANA S.A.S,2056743821,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,890905843,COMUNIDAD DE HERMANAS DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN DE TOURS PROVINCIA DE MEDELLIN,320173547,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,890982608,CORPORACION PARA ESTUDIOS EN SALUD CLINICA CES,19152052,
05001,ANTIOQUIA,MEDELLIN,EPSS40,SAVIA SALUD,800058016,EMPRESA SOCIAL DEL ESTADO METROSALUD,9194777147,
05001,ANTIOQUIA,MEDELLIN,ESS024,COOSALUD,890905177,E.S.E. HOSPITAL LA MARIA,405678206,
05002,ANTIOQUIA,ABEJORRAL,EPSS40,SAVIA SALUD,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,163236828,
05002,ANTIOQUIA,ABEJORRAL,ESS024,COOSALUD,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,68551103,
05004,ANTIOQUIA,ABRIAQUI,EPSS40,SAVIA SALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,25524467,
05021,ANTIOQUIA,ALEJANDRIA,EPSS40,SAVIA SALUD,800029509,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,53028010,
05030,ANTIOQUIA,AMAGA,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,15494976,
05030,ANTIOQUIA,AMAGA,EPSS40,SAVIA SALUD,890906346,ESE HOSPITAL SAN FERNANDO,50736690,
05030,ANTIOQUIA,AMAGA,ESS024,COOSALUD,890906346,ESE HOSPITAL SAN FERNANDO,119740152,
05031,ANTIOQUIA,AMALFI,EPSS37,NUEVA EPS,890982101,E.S.E HOSPITAL EL CARMEN,19949880,
05031,ANTIOQUIA,AMALFI,EPSS40,SAVIA SALUD,890982101,E.S.E HOSPITAL EL CARMEN,89076539,
05031,ANTIOQUIA,AMALFI,ESS024,COOSALUD,890982101,E.S.E HOSPITAL EL CARMEN,276531953,
05034,ANTIOQUIA,ANDES,EPSS40,SAVIA SALUD,890980814,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,436218895,
05036,ANTIOQUIA,ANGELOPOLIS,EPSS37,NUEVA EPS,890980959,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,4760000,
05038,ANTIOQUIA,ANGOSTURA,ESS024,COOSALUD,890982183,E.S.E. HOSPITAL SAN RAFAEL DE ANGOSTURA,176990341,
05040,ANTIOQUIA,ANORI,EPSS40,SAVIA SALUD,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,49744635,
05040,ANTIOQUIA,ANORI,ESS024,COOSALUD,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,267136458,
05042,ANTIOQUIA,ANTIOQUIA,EPSS37,NUEVA EPS,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,45175672,
05042,ANTIOQUIA,ANTIOQUIA,EPSS40,SAVIA SALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,127880560,
05042,ANTIOQUIA,ANTIOQUIA,ESS024,COOSALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,229001229,
05044,ANTIOQUIA,ANZA,EPSS40,SAVIA SALUD,890397282,E.S.E. HOSPITAL SAN FRANCISCO DE ASIS,96593931,
05045,ANTIOQUIA,APARTADO,EPSS10,SURAMERICANA,900390423,PROMOTORA CLINICA ZONA FRANCA DE URABA SAS,303641965,
05045,ANTIOQUIA,APARTADO,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,177085535,
05045,ANTIOQUIA,APARTADO,EPSS40,SAVIA SALUD,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,784105852,
05051,ANTIOQUIA,ARBOLETES,CCF033,EPS FAMILIAR DE COLOMBIA,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,38809198,
05051,ANTIOQUIA,ARBOLETES,EPSS40,SAVIA SALUD,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,364168035,
05055,ANTIOQUIA,ARGELIA,EPSS40,SAVIA SALUD,890981851,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN,114444819,
05059,ANTIOQUIA,ARMENIA,EPSS37,NUEVA EPS,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,2308243,
05059,ANTIOQUIA,ARMENIA,EPSS40,SAVIA SALUD,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,11704973,
05059,ANTIOQUIA,ARMENIA,ESS024,COOSALUD,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,40749796,
