DANE,DEPARTAMENTO,MUNICIPIO,COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,"TOTAL GIRO AGOSTO 2023",OBSERVACIÓN
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,800003765,VIRREY SOLIS IPS SA,1173525067,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,800228773,COOPERATIVA DE TRABAJO ASOCIADO DE PROFESIONALES DE LA SALUD DE DONMATIAS - PROSALCO,67364870,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,890939936,SOCIEDAD MEDICA RIONEGRO SA,11177296,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,800228773,COOPERATIVA DE TRABAJO ASOCIADO DE PROFESIONALES DE LA SALUD DE DONMATIAS - PROSALCO,426141411,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,811007832,SERVICIOS DE SALUD IPS SURAMERICANA S.A.S,4030749675,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,890905843,COMUNIDAD DE HERMANAS DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN DE TOURS PROVINCIA DE MEDELLIN,177450108,
05001,ANTIOQUIA,MEDELLIN,EPSS40,SAVIA SALUD,800058016,EMPRESA SOCIAL DEL ESTADO METROSALUD,10228548308,
05001,ANTIOQUIA,MEDELLIN,ESS024,COOSALUD,890905177,E.S.E. HOSPITAL LA MARIA,355618674,
05002,ANTIOQUIA,ABEJORRAL,EPSS37,NUEVA EPS,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,12404436,
05002,ANTIOQUIA,ABEJORRAL,EPSS40,SAVIA SALUD,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,188640252,
05002,ANTIOQUIA,ABEJORRAL,ESS024,COOSALUD,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,55024686,
05004,ANTIOQUIA,ABRIAQUI,EPSS40,SAVIA SALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,30060730,
05021,ANTIOQUIA,ALEJANDRIA,EPSS40,SAVIA SALUD,800029509,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,57778310,
05030,ANTIOQUIA,AMAGA,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,14933044,
05030,ANTIOQUIA,AMAGA,EPSS40,SAVIA SALUD,890906346,ESE HOSPITAL SAN FERNANDO,55886468,
05030,ANTIOQUIA,AMAGA,ESS024,COOSALUD,890906346,ESE HOSPITAL SAN FERNANDO,93962505,
05031,ANTIOQUIA,AMALFI,EPSS37,NUEVA EPS,890982101,E.S.E HOSPITAL EL CARMEN,23211026,
05031,ANTIOQUIA,AMALFI,EPSS40,SAVIA SALUD,890982101,E.S.E HOSPITAL EL CARMEN,92558805,
05031,ANTIOQUIA,AMALFI,ESS024,COOSALUD,890982101,E.S.E HOSPITAL EL CARMEN,223568712,
05034,ANTIOQUIA,ANDES,EPSS37,NUEVA EPS,890980814,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,93867995,
05034,ANTIOQUIA,ANDES,EPSS40,SAVIA SALUD,890980814,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,502142953,
05036,ANTIOQUIA,ANGELOPOLIS,EPSS37,NUEVA EPS,890980959,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,4940000,
05038,ANTIOQUIA,ANGOSTURA,ESS024,COOSALUD,890982183,E.S.E. HOSPITAL SAN RAFAEL DE ANGOSTURA,150737997,
05040,ANTIOQUIA,ANORI,EPSS37,NUEVA EPS,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,6446805,
05040,ANTIOQUIA,ANORI,EPSS40,SAVIA SALUD,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,58074445,
05040,ANTIOQUIA,ANORI,ESS024,COOSALUD,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,220173390,
05042,ANTIOQUIA,ANTIOQUIA,EPSS37,NUEVA EPS,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,49033017,
05042,ANTIOQUIA,ANTIOQUIA,EPSS40,SAVIA SALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,148939852,
05042,ANTIOQUIA,ANTIOQUIA,ESS024,COOSALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,162168544,
05044,ANTIOQUIA,ANZA,EPSS40,SAVIA SALUD,890397282,E.S.E. HOSPITAL SAN FRANCISCO DE ASIS,112720235,
05045,ANTIOQUIA,APARTADO,EPSS10,SURAMERICANA,900390423,PROMOTORA CLINICA ZONA FRANCA DE URABA SAS,609776014,
05045,ANTIOQUIA,APARTADO,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,175377791,
05045,ANTIOQUIA,APARTADO,EPSS40,SAVIA SALUD,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,854122956,
05051,ANTIOQUIA,ARBOLETES,CCF033,EPS FAMILIAR DE COLOMBIA,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,35505000,
05051,ANTIOQUIA,ARBOLETES,EPSS40,SAVIA SALUD,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,392667547,
05055,ANTIOQUIA,ARGELIA,EPSS40,SAVIA SALUD,890981851,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN,131725968,
05059,ANTIOQUIA,ARMENIA,EPSS37,NUEVA EPS,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,2017288,
05059,ANTIOQUIA,ARMENIA,EPSS40,SAVIA SALUD,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,12730670,
05059,ANTIOQUIA,ARMENIA,ESS024,COOSALUD,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,33440068,
05079,ANTIOQUIA,BARBOSA,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,17811108,
05079,ANTIOQUIA,BARBOSA,EPSS40,SAVIA SALUD,890905193,ESE HOSPITAL SAN VICENTE DE PAUL,341197544,
05086,ANTIOQUIA,BELMIRA,EPSS37,NUEVA EPS,890982065,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,3450492,
05086,ANTIOQUIA,BELMIRA,EPSS40,SAVIA SALUD,890982065,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,49921130,
05088,ANTIOQUIA,BELLO,EPSS40,SAVIA SALUD,800174995,EMPRESA SOCIAL DEL ESTADO BELLO SALUD,1919326929,
05091,ANTIOQUIA,BETANIA,EPSS40,SAVIA SALUD,890981494,E.S.E. HOSPITAL SAN ANTONIO DE BETANIA,77674916,
05093,ANTIOQUIA,BETULIA,EPSS40,SAVIA SALUD,890982116,E.S.E HOSPITAL GERMAN VELEZ GUTIERREZ,282714508,
05101,ANTIOQUIA,BOLIVAR,EPSS37,NUEVA EPS,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,30543264,
05101,ANTIOQUIA,BOLIVAR,EPSS40,SAVIA SALUD,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,157233412,
05101,ANTIOQUIA,BOLIVAR,ESS024,COOSALUD,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,175627881,
05107,ANTIOQUIA,BRICEÑO,EPSS40,SAVIA SALUD,800044320,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,31335488,
05107,ANTIOQUIA,BRICEÑO,ESS024,COOSALUD,800044320,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,85921056,
05113,ANTIOQUIA,BURITICA,EPSS40,SAVIA SALUD,890983843,ESE HOSPITAL SAN ANTONIO,102135915,
05120,ANTIOQUIA,CACERES,EPSI03,A.I.C.,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,45286169,
05120,ANTIOQUIA,CACERES,EPSS37,NUEVA EPS,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,4794500,
