DANE,DEPARTAMENTO,MUNICIPIO,COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,FORMA DE CONTRATACIÓN,"TOTAL GIRO 
DICIEMBRE 2023",OBSERVACIÓN
05001,ANTIOQUIA,MEDELLIN,EPSS02,Salud Total,800003765,VIRREY SOLIS IPS SA,Capitacion,1268582722,
05001,ANTIOQUIA,MEDELLIN,EPSS02,Salud Total,800228773,COOPERATIVA DE TRABAJO ASOCIADO DE PROFESIONALES DE LA SALUD DE DONMATIAS - PROSALCO,Capitacion,70062000,
05001,ANTIOQUIA,MEDELLIN,EPSS02,Salud Total,890939936,SOCIEDAD MEDICA RIONEGRO SA,Capitacion,45292988,
05001,ANTIOQUIA,MEDELLIN,EPSS10,Suramericana,800228773,COOPERATIVA DE TRABAJO ASOCIADO DE PROFESIONALES DE LA SALUD DE DONMATIAS - PROSALCO,Capitacion,439009484,
05001,ANTIOQUIA,MEDELLIN,EPSS10,Suramericana,811007832,SERVICIOS DE SALUD IPS SURAMERICANA S.A.S,Capitacion,2095401128,
05001,ANTIOQUIA,MEDELLIN,EPSS10,Suramericana,890905843,COMUNIDAD DE HERMANAS DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN DE TOURS PROVINCIA DE MEDELLIN,Capitacion,193749610,
05001,ANTIOQUIA,MEDELLIN,EPSS10,Suramericana,890925336,CLINICA DE CIRUGIA AMBULATORIA CONQUISTADORES S.A.,Capitacion,44299488,
05001,ANTIOQUIA,MEDELLIN,EPSS40,Savia Salud,800058016,EMPRESA SOCIAL DEL ESTADO METROSALUD,Capitacion,10459769215,
05001,ANTIOQUIA,MEDELLIN,ESS024,Coosalud,890905177,E.S.E. HOSPITAL LA MARIA,Capitacion,309555213,
05002,ANTIOQUIA,ABEJORRAL,EPSS37,Nueva Eps,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,Capitacion,14138164,
05002,ANTIOQUIA,ABEJORRAL,EPSS40,Savia Salud,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,Capitacion,187764580,
05002,ANTIOQUIA,ABEJORRAL,ESS024,Coosalud,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,Capitacion,62164476,
05004,ANTIOQUIA,ABRIAQUI,EPSS40,Savia Salud,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,29598304,
05021,ANTIOQUIA,ALEJANDRIA,EPSS40,Savia Salud,800029509,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,Capitacion,57356880,
