DANE,DEPARTAMENTO,MUNICIPIO,COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,FORMA DE CONTRATACIÓN,TOTAL GIRO ENERO2024,OBSERVACIÓN
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,800003765,VIRREY SOLIS IPS SA,Capitacion,1196951471,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,890939936,SOCIEDAD MEDICA RIONEGRO SA,Capitacion,11494704,
05001,ANTIOQUIA,MEDELLIN,EPSS10,EPS SURA,811007832,SERVICIOS DE SALUD IPS SURAMERICANA S.A.S,Capitacion,2090494586,
05001,ANTIOQUIA,MEDELLIN,EPSS10,EPS SURA,890905843,COMUNIDAD DE HERMANAS DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN DE TOURS PROVINCIA DE MEDELLIN,Capitacion,194312970,
05001,ANTIOQUIA,MEDELLIN,EPSS10,EPS SURA,890925336,CLINICA DE CIRUGIA AMBULATORIA CONQUISTADORES S.A.,Capitacion,22224072,
05001,ANTIOQUIA,MEDELLIN,EPSS40,SAVIA SALUD,800058016,EMPRESA SOCIAL DEL ESTADO METROSALUD,Capitacion,10496144251,
05001,ANTIOQUIA,MEDELLIN,ESS024,COOSALUD,890905177,E.S.E. HOSPITAL LA MARIA,Capitacion,309555213,
05002,ANTIOQUIA,ABEJORRAL,EPSS37,LA NUEVA EPS S.A.,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,Capitacion,14092881,
05002,ANTIOQUIA,ABEJORRAL,EPSS40,SAVIA SALUD,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,Capitacion,187871904,
05002,ANTIOQUIA,ABEJORRAL,ESS024,COOSALUD,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,Capitacion,62164476,
05004,ANTIOQUIA,ABRIAQUI,EPSS40,SAVIA SALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,30012216,
05021,ANTIOQUIA,ALEJANDRIA,EPSS40,SAVIA SALUD,800029509,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,Capitacion,57777645,
05030,ANTIOQUIA,AMAGA,EPSS37,LA NUEVA EPS S.A.,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,Capitacion,18757788,
05030,ANTIOQUIA,AMAGA,EPSS40,SAVIA SALUD,890906346,ESE HOSPITAL SAN FERNANDO,Capitacion,59650390,
05030,ANTIOQUIA,AMAGA,ESS024,COOSALUD,890906346,ESE HOSPITAL SAN FERNANDO,Capitacion,103906425,
05031,ANTIOQUIA,AMALFI,EPSS37,LA NUEVA EPS S.A.,890982101,E.S.E HOSPITAL EL CARMEN,Capitacion,23583520,
05031,ANTIOQUIA,AMALFI,EPSS40,SAVIA SALUD,890982101,E.S.E HOSPITAL EL CARMEN,Capitacion,104093563,
05031,ANTIOQUIA,AMALFI,ESS024,COOSALUD,890982101,E.S.E HOSPITAL EL CARMEN,Capitacion,246969100,
05034,ANTIOQUIA,ANDES,EPSS10,EPS SURA,890980814,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,Capitacion,49559180,
05034,ANTIOQUIA,ANDES,EPSS40,SAVIA SALUD,890980814,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,Capitacion,494726002,
05036,ANTIOQUIA,ANGELOPOLIS,EPSS37,LA NUEVA EPS S.A.,890980959,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,Capitacion,4340000,
05038,ANTIOQUIA,ANGOSTURA,ESS024,COOSALUD,890982183,E.S.E. HOSPITAL SAN RAFAEL DE ANGOSTURA,Capitacion,169545727,
05040,ANTIOQUIA,ANORI,EPSS37,LA NUEVA EPS S.A.,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,Capitacion,7657769,
05040,ANTIOQUIA,ANORI,EPSS40,SAVIA SALUD,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,Capitacion,58230070,
05040,ANTIOQUIA,ANORI,ESS024,COOSALUD,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,Capitacion,249578620,
05042,ANTIOQUIA,ANTIOQUIA,EPSS37,LA NUEVA EPS S.A.,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,51631587,
05042,ANTIOQUIA,ANTIOQUIA,EPSS40,SAVIA SALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,148239708,
05042,ANTIOQUIA,ANTIOQUIA,ESS024,COOSALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,191115698,
05044,ANTIOQUIA,ANZA,EPSS40,SAVIA SALUD,890397282,E.S.E. HOSPITAL SAN FRANCISCO DE ASIS,Capitacion,112615160,
05045,ANTIOQUIA,APARTADO,EPSS10,EPS SURA,900390423,PROMOTORA CLINICA ZONA FRANCA DE URABA SAS,Capitacion,309868828,
05045,ANTIOQUIA,APARTADO,EPSS37,LA NUEVA EPS S.A.,811045925,SALUD DARIEN I.P.S. S.A.,Capitacion,156425411,
05045,ANTIOQUIA,APARTADO,EPSS40,SAVIA SALUD,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,Capitacion,864065242,
05045,ANTIOQUIA,APARTADO,EPSS41,NUEVA EPSS,811045925,SALUD DARIEN I.P.S. S.A.,Capitacion,90641161,
05051,ANTIOQUIA,ARBOLETES,CCF033,COMFASUCRE,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,Capitacion,34965000,
05051,ANTIOQUIA,ARBOLETES,EPSS37,LA NUEVA EPS S.A.,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,Capitacion,8694693,
05051,ANTIOQUIA,ARBOLETES,EPSS40,SAVIA SALUD,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,Capitacion,400695633,
05051,ANTIOQUIA,ARBOLETES,EPSS41,NUEVA EPSS,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,Capitacion,140334884,
05055,ANTIOQUIA,ARGELIA,EPSS40,SAVIA SALUD,890981851,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN,Capitacion,128447667,
05059,ANTIOQUIA,ARMENIA,EPSS37,LA NUEVA EPS S.A.,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,Capitacion,2434860,
05059,ANTIOQUIA,ARMENIA,EPSS40,SAVIA SALUD,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,Capitacion,12319564,
05059,ANTIOQUIA,ARMENIA,ESS024,COOSALUD,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,Capitacion,58417172,
05079,ANTIOQUIA,BARBOSA,EPSS37,LA NUEVA EPS S.A.,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,Capitacion,16959096,
05079,ANTIOQUIA,BARBOSA,EPSS40,SAVIA SALUD,890905193,ESE HOSPITAL SAN VICENTE DE PAUL,Capitacion,338428661,
05086,ANTIOQUIA,BELMIRA,EPSS37,LA NUEVA EPS S.A.,890982065,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,Capitacion,3334704,
05086,ANTIOQUIA,BELMIRA,EPSS40,SAVIA SALUD,890982065,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,Capitacion,48801470,
05088,ANTIOQUIA,BELLO,EPSS40,SAVIA SALUD,800174995,EMPRESA SOCIAL DEL ESTADO BELLO SALUD,Capitacion,1936430108,
05091,ANTIOQUIA,BETANIA,EPSS10,EPS SURA,890981494,E.S.E. HOSPITAL SAN ANTONIO DE BETANIA,Capitacion,70122888,
05091,ANTIOQUIA,BETANIA,EPSS40,SAVIA SALUD,890981494,E.S.E. HOSPITAL SAN ANTONIO DE BETANIA,Capitacion,78347904,
05093,ANTIOQUIA,BETULIA,EPSS40,SAVIA SALUD,890982116,E.S.E HOSPITAL GERMAN VELEZ GUTIERREZ,Capitacion,306800026,
05101,ANTIOQUIA,BOLIVAR,EPSS40,SAVIA SALUD,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,Capitacion,157464715,
05101,ANTIOQUIA,BOLIVAR,ESS024,COOSALUD,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,Capitacion,179062938,
05107,ANTIOQUIA,BRICEÑO,EPSS40,SAVIA SALUD,800044320,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,Capitacion,30540688,
05107,ANTIOQUIA,BRICEÑO,ESS024,COOSALUD,800044320,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,Capitacion,85921056,
05113,ANTIOQUIA,BURITICA,EPSS40,SAVIA SALUD,890983843,ESE HOSPITAL SAN ANTONIO,Capitacion,103960110,
05113,ANTIOQUIA,BURITICA,ESS024,COOSALUD,890983843,ESE HOSPITAL SAN ANTONIO,Capitacion,11381799,
05120,ANTIOQUIA,CACERES,EPSI03,AIC,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,Capitacion,45286169,
