DANE,DEPARTAMENTO,MUNICIPIO,COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,"TOTAL GIRO JULIO 2023",OBSERVACIÓN
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,800003765,VIRREY SOLIS IPS SA,1156417288,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,800228773,COOPERATIVA DE TRABAJO ASOCIADO DE PROFESIONALES DE LA SALUD DE DONMATIAS - PROSALCO,66839599,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,890939936,SOCIEDAD MEDICA RIONEGRO SA,41308384,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,800228773,COOPERATIVA DE TRABAJO ASOCIADO DE PROFESIONALES DE LA SALUD DE DONMATIAS - PROSALCO,899219003,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,811007832,SERVICIOS DE SALUD IPS SURAMERICANA S.A.S,2034274536,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,890905843,COMUNIDAD DE HERMANAS DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN DE TOURS PROVINCIA DE MEDELLIN,178076271,
05001,ANTIOQUIA,MEDELLIN,EPSS40,SAVIA SALUD,800058016,EMPRESA SOCIAL DEL ESTADO METROSALUD,10355133275,
05001,ANTIOQUIA,MEDELLIN,ESS024,COOSALUD,890905177,E.S.E. HOSPITAL LA MARIA,284845197,
05002,ANTIOQUIA,ABEJORRAL,EPSS37,NUEVA EPS,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,9839452,
05002,ANTIOQUIA,ABEJORRAL,EPSS40,SAVIA SALUD,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,183493544,
05002,ANTIOQUIA,ABEJORRAL,ESS024,COOSALUD,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,55024686,
05004,ANTIOQUIA,ABRIAQUI,EPSS40,SAVIA SALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,29366127,
05021,ANTIOQUIA,ALEJANDRIA,EPSS40,SAVIA SALUD,800029509,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,58194100,
05030,ANTIOQUIA,AMAGA,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,15100428,
05030,ANTIOQUIA,AMAGA,EPSS40,SAVIA SALUD,890906346,ESE HOSPITAL SAN FERNANDO,54334689,
05030,ANTIOQUIA,AMAGA,ESS024,COOSALUD,890906346,ESE HOSPITAL SAN FERNANDO,93962505,
05031,ANTIOQUIA,AMALFI,EPSS37,NUEVA EPS,890982101,E.S.E HOSPITAL EL CARMEN,19849730,
05031,ANTIOQUIA,AMALFI,EPSS40,SAVIA SALUD,890982101,E.S.E HOSPITAL EL CARMEN,90658697,
05031,ANTIOQUIA,AMALFI,ESS024,COOSALUD,890982101,E.S.E HOSPITAL EL CARMEN,223568712,
05034,ANTIOQUIA,ANDES,EPSS37,NUEVA EPS,890980814,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,92147120,
