DANE,DEPARTAMENTO,MUNICIPIO,COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,FORMA DE CONTRATACIÓN,TOTAL GIRO OCTUBRE 2023,OBSERVACIÓN
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,800003765,VIRREY SOLIS IPS SA,Capitacion,1366817626,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,800228773,COOPERATIVA DE TRABAJO ASOCIADO DE PROFESIONALES DE LA SALUD DE DONMATIAS - PROSALCO,Capitacion,69378570,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,900033752,UNIVER PLUS,Capitacion,7222276,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,900055823,ESTUDIOS ENDOSCOPICOS S.A.S.,Capitacion,33754640,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,900138758,CLINICA DE ESPECIALIDADES OFTALMOLOGICAS S.A.S,Capitacion,89151923,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,900217078,I.P.S. FISINOVA S.A.S,Capitacion,36714815,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,900236850,CENTRO ONCOLOGICO DE ANTIOQUIA SA,Capitacion,216992463,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,900304417,SALUD DOMICILIARIA INTEGRAL SALUD & S.A.S,Capitacion,70972583,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,900385457,ASISTENCIA Y LOGISTICA PRE HOSPITALARIA DE ANTIOQUIA S.A.S,Capitacion,12954989,
05001,ANTIOQUIA,MEDELLIN,EPSS02,SALUD TOTAL,900839212,IMAGENES DE VIDA Y SALUD S.A.S,Capitacion,53250140,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,800228773,COOPERATIVA DE TRABAJO ASOCIADO DE PROFESIONALES DE LA SALUD DE DONMATIAS - PROSALCO,Capitacion,670620146,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,811007832,SERVICIOS DE SALUD IPS SURAMERICANA S.A.S,Capitacion,1546231698,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,890905843,COMUNIDAD DE HERMANAS DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN DE TOURS PROVINCIA DE MEDELLIN,Capitacion,186037344,
05001,ANTIOQUIA,MEDELLIN,EPSS10,SURAMERICANA,890982608,CORPORACION PARA ESTUDIOS EN SALUD CLINICA CES,Capitacion,38951952,
05001,ANTIOQUIA,MEDELLIN,EPSS40,SAVIA SALUD,800058016,EMPRESA SOCIAL DEL ESTADO METROSALUD,Capitacion,10700899889,
05001,ANTIOQUIA,MEDELLIN,ESS024,COOSALUD,890905177,E.S.E. HOSPITAL LA MARIA,Capitacion,309555213,
05002,ANTIOQUIA,ABEJORRAL,EPSS40,SAVIA SALUD,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,Capitacion,185759752,
05002,ANTIOQUIA,ABEJORRAL,ESS024,COOSALUD,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,Capitacion,62164476,
05004,ANTIOQUIA,ABRIAQUI,EPSS40,SAVIA SALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,30228387,
05021,ANTIOQUIA,ALEJANDRIA,EPSS40,SAVIA SALUD,800029509,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,Capitacion,57321025,
05030,ANTIOQUIA,AMAGA,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,Capitacion,18446736,
05030,ANTIOQUIA,AMAGA,EPSS40,SAVIA SALUD,890906346,ESE HOSPITAL SAN FERNANDO,Capitacion,54729529,
05030,ANTIOQUIA,AMAGA,ESS024,COOSALUD,890906346,ESE HOSPITAL SAN FERNANDO,Capitacion,103906425,
